"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Indoor tanning bed use and risk of food addiction based on the modified Yale Food Addiction Scale.",28808183,2016,"Oct","10.7555/JBR.31.20160098 [doi]","The popularity of indoor tanning may be partly attributed to the addictive ","Li, Wen-Qing; E McGeary, John; Cho, Eunyoung; Flint, Alan; Wu, Shaowei; Ascherio, Alberto; Rimm, Eric; Field, Alison; A Qureshi, Abrar","Department of Dermatology, Warren Alpert Medical School, Brown University, ; Department of Epidemiology, School of Public Health, Brown University, ; Providence VA Medical Center, Providence, RI 02908, United States.; Department of Psychiatry and Human Behavior, Warren Alpert Medical School, Brown ; Department of Dermatology, Warren Alpert Medical School, Brown University, ; Department of Epidemiology, School of Public Health, Brown University, ; Channing Division of Network Medicine, Department of Medicine, Brigham and Women.; Channing Division of Network Medicine, Department of Medicine, Brigham and ; Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA ; Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA ; Department of Dermatology, Warren Alpert Medical School, Brown University, ; Department of Occupational and Environmental Health Sciences, School of Public ; Channing Division of Network Medicine, Department of Medicine, Brigham and ; Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA ; Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA ; Channing Division of Network Medicine, Department of Medicine, Brigham and ; Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA ; Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA ; Department of Epidemiology, School of Public Health, Brown University, ; Department of Dermatology, Warren Alpert Medical School, Brown University, ; Department of Epidemiology, School of Public Health, Brown University, ; Department of Dermatology, Rhode Island Hospital, Providence, RI 02903, United ","eng","Journal Article","J Biomed Res",NA,"Journal of biomedical research","tanning"
"First evaluation of the Behavioral Addiction Indoor Tanning Screener (BAITS) in a nationwide representative sample.",28804871,2018,"Jan","10.1111/bjd.15888 [doi]","BACKGROUND: Evidence suggests that indoor tanning may have addictive properties. ","Diehl, K; Gorig, T; Breitbart, E W; Greinert, R; Hillhouse, J J; Stapleton, J L; Schneider, S","Mannheim Institute of Public Health, Social and Preventive Medicine, Medical ; Mannheim Institute of Public Health, Social and Preventive Medicine, Medical ; Arbeitsgemeinschaft Dermatologische Pravention, Hamburg, Germany.; Arbeitsgemeinschaft Dermatologische Pravention, Hamburg, Germany.; Centre of Dermatology, Elbe Kliniken Buxtehude, Buxtehude, Germany.; Department of Community and Behavioral Health, College of Public Health, East ; Section of Population Science, Rutgers Cancer Institute of New Jersey, Rutgers, ; Mannheim Institute of Public Health, Social and Preventive Medicine, Medical ","eng","Evaluation Study; Journal Article; Validation Study","Br J Dermatol",NA,"The British journal of dermatology","tanning"
"Review of interventions to reduce ultraviolet tanning: Need for treatments targeting excessive tanning, an emerging addictive behavior.",28639816,2017,"Dec","10.1037/adb0000289 [doi]","Millions of Americans engage in tanning each year, defined as intentional ","Stapleton, Jerod L; Hillhouse, Joel; Levonyan-Radloff, Kristine; Manne, Sharon L","Division of Population Sciences, Rutgers Cancer Institute of New Jersey.; Department of Community and Behavioral Health, East Tennessee State University ; Division of Population Sciences, Rutgers Cancer Institute of New Jersey.; Division of Population Sciences, Rutgers Cancer Institute of New Jersey.","eng","Journal Article; Review; Systematic Review","Psychol Addict Behav",NA,"Psychology of addictive behaviors : journal of the Society of Psychologists in ","tanning"
"Telangiectasia of the face: risk factors for reappearance in patients treated with dye laser.",27987316,2017,"Aug","10.1111/jdv.14088 [doi]","BACKGROUND: Lasers can be successfully used in the treatment of facial ","Guida, S; Galimberti, M G; Bencini, M; Pellacani, G; Bencini, P L","Dermatology Unit, University of Modena and Reggio Emilia, Modena, Italy.; Istituto di Chirurgia e Laserchirurgia in Dermatologia (I.C.L.I.D.), Milano, ; Istituto di Chirurgia e Laserchirurgia in Dermatologia (I.C.L.I.D.), Milano, ; Medical School, Sacco Hospital, University of Milano, Milano, Italy.; Dermatology Unit, University of Modena and Reggio Emilia, Modena, Italy.; Istituto di Chirurgia e Laserchirurgia in Dermatologia (I.C.L.I.D.), Milano, ","eng","Journal Article","J Eur Acad Dermatol Venereol",NA,"Journal of the European Academy of Dermatology and Venereology : JEADV","tanning"
"Toward quantifying the abuse liability of ultraviolet tanning: A behavioral economic approach to tanning addiction.",27400670,2016,"Jul","10.1002/jeab.216 [doi]","Many adults engage in ultraviolet indoor tanning despite evidence of its ","Reed, Derek D; Kaplan, Brent A; Becirevic, Amel; Roma, Peter G; Hursh, Steven R","University of Kansas.; University of Kansas.; University of Kansas.; Institutes for Behavior Resources and Johns Hopkins University School of ; Institutes for Behavior Resources and Johns Hopkins University School of ","eng","Journal Article","J Exp Anal Behav",NA,"Journal of the experimental analysis of behavior","tanning"
"Patients' perspectives on actinic keratosis.",25561200,2015,NA,"10.1159/000366530 [doi]","Many factors influence patients' perspectives on actinic keratosis (AK). The wish ","Esmann, Solveig","Department of Dermatology, Roskilde Hospital, Faculty of Health Sciences, ","eng","Journal Article","Curr Probl Dermatol",NA,"Current problems in dermatology","tanning"
"Tanning accelerators: prevalence, predictors of use, and adverse effects.",25458018,2015,"Jan","S0190-9622(14)02095-7 [pii]; 10.1016/j.jaad.2014.10.020 [doi]","BACKGROUND: Tanning accelerators are topical products used by indoor tanners to ","Herrmann, Jennifer L; Cunningham, Rachel; Cantor, Alan; Elewski, Boni E; Elmets, Craig A","Department of Dermatology, University of Alabama at Birmingham, Birmingham, ; Department of Dermatology, University of Alabama at Birmingham, Birmingham, ; Department of Dermatology, University of Alabama at Birmingham, Birmingham, ; Department of Dermatology, University of Alabama at Birmingham, Birmingham, ; Department of Dermatology, University of Alabama at Birmingham, Birmingham, ","eng","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","J Am Acad Dermatol",NA,"Journal of the American Academy of Dermatology","tanning"
"Ultra-violet indoor tanning addiction: a reinforcer pathology interpretation.",25452072,2015,"Feb","S0306-4603(14)00358-X [pii]; 10.1016/j.addbeh.2014.10.026 [doi]","Ultra-violet indoor tanning (UVIT) is a pervasive issue that is increasing at ","Reed, Derek D","University of Kansas, United States. Electronic address: dreed@ku.edu.","eng","Journal Article; Review","Addict Behav",NA,"Addictive behaviors","tanning"
"Tanning as a substance abuse.",26842945,2014,"Oct","10.4161/cib.29890 [doi]; e971579","While few people would deny the appeal of a day in the sun there are some who ","Robinson, Kathleen C; Fisher, David E","Cutaneous Biology Research Center; Department of Dermatology and MGH Cancer ; Cutaneous Biology Research Center; Department of Dermatology and MGH Cancer ","eng","Journal Article","Commun Integr Biol",NA,"Communicative & integrative biology","tanning"
"Tanning addiction and psychopathology: Further evaluation of anxiety disorders and substance abuse.",24373775,2014,"Mar","S0190-9622(13)01253-X [pii]; 10.1016/j.jaad.2013.10.057 [doi]","BACKGROUND: Little research has investigated the correlates of problematic ","Ashrafioun, Lisham; Bonar, Erin E","Department of Psychology, Bowling Green State University, Bowling Green, Ohio.; Addiction Research Center, Department of Psychiatry, University of Michigan, Ann ","eng","Comparative Study; Evaluation Study; Journal Article; Research Support, N.I.H., Extramural","J Am Acad Dermatol","Conflict of Interest: The authors have no conflicts of interest to declare.","Journal of the American Academy of Dermatology","tanning"
"Excessive indoor tanning as a behavioral addiction: a literature review.",24001299,2014,NA,NA,"BACKGROUND: Socially valorized, excessive indoor tanning can lead to dependence. ","Petit, Aymeric; Lejoyeux, Michel; Reynaud, Michel; Karila, Laurent","Department of Psychiatry and Addictive Medicine, Bichat-Claude Bernard Hospital, ","eng","Journal Article; Review","Curr Pharm Des",NA,"Current pharmaceutical design","tanning"
"[Can we talk about addiction for excessive indoor tanning?].",23888583,2013,"May-Jun",NA,"Tanning is socially highly valued and, like other forms of behaviour, can take on ","Petit, A; Lejoyeux, M","Universites, Praticien Hospitalier, AP-HP, Hopital Bichat, Service de ","fre","English Abstract; Journal Article; Review","Rev Med Liege",NA,"Revue medicale de Liege","tanning"
"[What nosographic framework for excessive tanning?].",23809175,2014,"Apr","S0013-7006(13)00085-7 [pii]; 10.1016/j.encep.2013.04.001 [doi]","BACKGROUND: Socially valorised tanning, like other forms of behaviour, can take ","Petit, A; Karila, L; Lejoyeux, M","Service de psychiatrie, addictologie et tabacologie, faculte de medecine, ; Centre d'enseignement, de recherche et de traitement des addictions, hopital ; Service de psychiatrie, addictologie et tabacologie, faculte de medecine, ","fre","English Abstract; Journal Article; Review","Encephale",NA,"L'Encephale","tanning"
"Teens and indoor tanning: a cancer prevention opportunity for pediatricians.",23509165,2013,"Apr","10.1542/peds.2012-2404 [doi]","In October 2011, California became the first US state to ban indoor tanning for ","Balk, Sophie J; Fisher, David E; Geller, Alan C","Children's Hospital at Montefiore, Albert Einstein College of Medicine, Bronx, ","eng","Journal Article; Review","Pediatrics",NA,"Pediatrics","tanning"
"Addictive-like behaviours to ultraviolet light among frequent indoor tanners.",20545951,2011,"Jan","10.1111/j.1365-2230.2010.03882.x [doi]","BACKGROUND: Frequent, purposeful exposure to ultraviolet (UV) light may induce a ","Harrington, C R; Beswick, T C; Leitenberger, J; Minhajuddin, A; Jacobe, H T; Adinoff, B","Department of Dermatology, University of Texas South-western Medical Center, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Clin Exp Dermatol",NA,"Clinical and experimental dermatology","tanning"
"Tanning as a behavioral addiction.",20545604,2010,"Sep","10.3109/00952990.2010.491883 [doi]","BACKGROUND: Persistent tanning despite potentially fatal consequences suggests a ","Kourosh, Arianne S; Harrington, Cynthia R; Adinoff, Bryon","University of Texas Southwestern Medical Center at Dallas, USA.","eng","Journal Article; Review","Am J Drug Alcohol Abuse",NA,"The American journal of drug and alcohol abuse","tanning"
"Addiction to indoor tanning: relation to anxiety, depression, and substance use.",20404230,2010,"Apr","10.1001/archdermatol.2009.385 [doi]","OBJECTIVE: To assess the prevalence of addiction to indoor tanning among college ","Mosher, Catherine E; Danoff-Burg, Sharon","Department of Psychiatry and Behavioral Sciences, Memorial Sloan-Kettering Cancer ","eng","Journal Article; Research Support, N.I.H., Extramural","Arch Dermatol",NA,"Archives of dermatology","tanning"
"Ultraviolet tanning addiction.",19254653,2009,"Apr","10.1016/j.det.2008.11.007 [doi]","Behavioral studies of ultraviolet light exposure behavior have provided insight ","Nolan, Bridgit V; Feldman, Steven R","SUNY Upstate Medical University, Weiskotten Hall, 766 Irving Avenue, Syracuse, NY ","eng","Journal Article; Research Support, Non-U.S. Gov't; Review","Dermatol Clin",NA,"Dermatologic clinics","tanning"
"Tanning as an addictive behavior: a literature review.",19152511,2009,"Feb","10.1111/j.1600-0781.2009.00392.x [doi]","BACKGROUND: Recent studies have identified reinforcing properties associated with ","Nolan, Bridgit V; Taylor, Sarah L; Liguori, Anthony; Feldman, Steven R","Department of Dermatology, Center for Dermatology Research, Wake Forest ","eng","Journal Article; Research Support, Non-U.S. Gov't; Review","Photodermatol Photoimmunol Photomed",NA,"Photodermatology, photoimmunology & photomedicine","tanning"
