"Title","PMID"
"[Smartphone addiction: French validation of the Internet Addiction Test-Smartphone version (IAT-smartphone) and associated psychopathological features].","29397925"
"Hierarchical Linear Model of Internet Addiction and Associated Risk Factors in Chinese Adolescents: A Longitudinal Study.","36360886"
"How does Internet Addiction Affect Adolescent Lifestyles? Results from a School-Based Study in the Mediterranean Region of Turkey.","33589290"
"Relationship between borderline personality symptoms and Internet addiction: The mediating effects of mental health problems.","28849668"
"Diagnostic Stability of Internet Addiction in Obsessive-compulsive Disorder: Data from a Naturalistic One-year Treatment Study.","26000201"
"Family factors of internet addiction and substance use experience in Taiwanese adolescents.","17594255"
"Should DSM-V Designate ""Internet Addiction"" a Mental Disorder?","19724746"
"[Addictive internet use as a comorbid disorder among clients of an adolescent psychiatry - prevalence and psychopathological symptoms].","22869227"
"Burden of internet addiction, social anxiety and social phobia among University students, India.","33102337"
"Internet addiction, adolescent depression, and the mediating role of life events: finding from a sample of Chinese adolescents.","25178955"
"Adding Clinical Validity to the Statistical Power of Large-Scale Epidemiological Surveys on Internet Addiction in Adolescence: A Combined Approach to Investigate Psychopathology and Development-Specific Personality Traits Associated With Internet Addiction.","28199069"
"Serial Multiple Mediation of the Correlation Between Internet Addiction and Depression by Social Support and Sleep Quality of College Students During the COVID-19 Epidemic.","34986557"
"Association between Internet Addiction and Application Usage among Junior High School Students: A Field Survey.","34062760"
"The Effect of COVID-19 Perceived Risk on Internet Addiction among College Students in China: An Empirical Study Based on the Structural Equation Model.","36293960"
"[Internet addiction disorder].","22217816"
"The predictor role of Internet addiction in high- risk behaviors and general health status among Alborz students: A structural equation model.","34036189"
"Parent-Adolescent Communication, School Engagement, and Internet Addiction among Chinese Adolescents: The Moderating Effect of Rejection Sensitivity.","33805480"
"Internet Addiction among Junior Doctors: A Cross-sectional Study.","28852233"
"Substance abuse precedes Internet addiction.","23384457"
"Boredom proneness and its correlation with Internet addiction and Internet activities in adolescents with attention-deficit/hyperactivity disorder.","30041765"
"Internet addiction in adolescent psychiatric patient population: A hospital-based Study from China.","35841188"
"Efficacy of short-term telemedicine motivation-based intervention for individuals with Internet Use Disorder - A pilot-study.","34797218"
"The relationship of emotional intelligence and mental disorders with internet addiction in internet users university students.","24494148"
"Internet Addiction of Young Greek Adults: Psychological Aspects and Information Privacy.","28971417"
"Relationship between internet addiction and alexithymia among university students.","27917803"
"Adolescent Internet Addiction in Hong Kong: Prevalence, Change, and Correlates.","26461526"
"The Association Between Perceived Risk of COVID-19, Psychological Distress, and Internet Addiction in College Students: An Application of Stress Process Model.","35795419"
"Association between Sleep Habits and Problems and Internet Addiction in Adolescents.","31389226"
"Sex Differences in the Relationship between Student School Burnout and Problematic Internet Use among Adolescents.","31653105"
"Social Exclusion, Self-Forgiveness, Mindfulness, and Internet Addiction in College Students: a Moderated Mediation Approach.","33716585"
"Social Media Addiction and Poor Mental Health: Examining the Mediating Roles of Internet Addiction and Phubbing.","36972903"
"Internet addiction and sleep quality among Vietnamese youths.","28784371"
"Internet addiction and its determinants among medical students.","27212820"
"Decreased frontal lobe function in people with Internet addiction disorder.","25206643"
"Psychometric properties of a Thai version internet addiction test.","29361970"
"Risk personality traits of Internet addiction: a longitudinal study of Internet-addicted Chinese university students.","23857796"
"Internet addiction is associated with social anxiety in young adults.","25696775"
"Association of harsh parenting and maltreatment with internet addiction, and the mediating role of bullying and social support.","33429283"
"Associations between 24-h Movement Behavior and Internet Addiction in Adolescents: A Cross-Sectional Study.","36554753"
"Prevalence and associated factors of internet addiction among young adults in Bangladesh.","32813097"
"School victimization and Internet addiction among Chinese adolescents: The mediating roles of life satisfaction and loneliness.","36710833"
"An exploration of the associations among positivity, general distress and internet addiction: The mediating effect of general distress.","30616133"
"Prevalence and Risk Factors of Internet Addiction Among Employed Adults in Japan.","29151474"
"Can Cyberloafing and Internet Addiction Affect Organizational Information Security?","28872364"
"Evaluation of a School-Based Program for Internet Addiction of Adolescents in Turkey.","29505460"
"Investigation of the relationship between internet addiction, communication skills and difficulties in emotion regulation in nursing students.","36842823"
"The role of school connectedness and maladaptive cognitions in the association between stress and Internet addiction: A serial mediation model.","31304603"
"Internet addiction in adolescents: Role of family, personality and comorbid psychopathology in school children in Eastern India.","36060726"
"A New Measurement of Internet Addiction Using Diagnostic Classification Models.","29066994"
"Profiles and sociodemographic correlates of Internet addiction in early adolescents in southern China.","32187574"
"The Roles of Primary Emotional Systems and Need Satisfaction in Problematic Internet and Smartphone Use: A Network Perspective.","34531797"
"Hypothalamic-pituitary-adrenal axis activity in patients with pathological gambling and internet use disorder.","25619430"
"Effect of Narrative Therapy-Based Group Psychological Counseling on Internet Addiction among Adolescents.","36447965"
"Mediators in the Relationship between Internet Addiction and Body Mass Index: A Path Model Approach Using Partial Least Square.","30270215"
"The effects of insomnia and internet addiction on depression in Hong Kong Chinese adolescents: an exploratory cross-sectional analysis.","20819144"
"Psychosocial correlates of Internet addiction among Jordanian university students.","25800688"
"Internet Addiction Among College Students in China: Prevalence and Psychosocial Correlates.","27635444"
"Longitudinal study shows that addictive Internet use during adolescence was associated with heavy drinking and smoking cigarettes in early adulthood.","27977879"
"Association of Internet Addiction with Family Functionality, Depression, Self-Efficacy and Self-Esteem among Early Adolescents.","33260988"
"Depression and Social Anxiety Predict Internet Use Disorder Symptoms in Children and Adolescents at 12-Month Follow-Up: Results From a Longitudinal Study.","34966336"
"Mediating Effect of Internet Addiction on the Association between Resilience and Depression among Korean University Students: A Structural Equation Modeling Approach.","30301308"
"Evaluation of peer bullying, internet addiction, and psychological adaptation level of students aged 9-15.","34118109"
"Internet addiction and relationships with depression, anxiety, stress and academic performance among Egypt pharmacy students: a cross-sectional designed study.","36163012"
"[Internet Addiction and Suicidality - A Comparison of Internet-Dependent and Non-Dependent Patients with Healthy Controls].","32289844"
"Associations between Fear of COVID-19, Depression, and Internet Addiction in South Korean Adults.","35627998"
"Depression Mediates the Relationship between Childhood Trauma and Internet Addiction in Female but Not Male Chinese Adolescents and Young Adults.","34768534"
"The role of social support on emotion dysregulation and Internet addiction among Chinese adolescents: A structural equation model.","29501012"
"Analysis of the mediating effects of self-efficacy and self-control between physical activity and Internet addiction among Chinese college students.","36211939"
"Perceived parental monitoring and adolescent internet addiction: A moderated mediation model.","28575738"
"Internet Addiction and Its Associated Factors among Undergraduate Students in Kathmandu, Nepal.","37091192"
"A Cross-Sectional Study on Internet Addiction Among Adolescent Children of Parents With Mental Illness.","34584308"
"Serial Mediation Roles of Alexithymia and Loneliness in the Association Between Family Function and Internet Addiction Among Chinese College Students.","35602724"
"Prevalence, correlates, and network analysis of Internet addiction symptoms among Chinese pregnant and postpartum women.","34715164"
"Revealing the Intellectual Structure and Evolution of Digital Addiction Research: An Integrated Bibliometric and Science Mapping Approach.","36429603"
"Psychiatric symptoms in adolescents with Internet addiction: Comparison with substance use.","18289136"
"Psychological Capital, College Adaptation, and Internet Addiction: An Analysis Based on Moderated Mediation Model.","34899409"
"Prevalence of Internet Addiction among Schoolchildren in Novi Sad.","26946768"
"Impulsivity, inhibition, and internet addiction in medical students of North of Iran.","36741579"
"Relationship of Internet addiction with self-esteem and depression in university students.","25902574"
"Serum levels of brain-derived neurotrophic factor in patients with internet use disorder.","23375675"
"Comparison of the personality and other psychological factors of students with internet addiction who do and do not have associated social dysfunction.","25852254"
"Internet Addiction and Its Associated Factors Among African High School and University Students: Systematic Review and Meta-Analysis.","35386896"
"Online activities, prevalence of Internet addiction and risk factors related to family and school among adolescents in China.","29450251"
"Correlation between Internet addiction, depression, anxiety and stress among undergraduate medical students in Azad Kashmir.","31086541"
"The association between adult ADHD symptoms and internet addiction among college students: the gender difference.","19072077"
"The relationship between health literacy and internet addiction among middle school students in Chongqing, China: A cross-sectional survey study.","36961794"
"The exacerbation of depression, hostility, and social anxiety in the course of Internet addiction among adolescents: a prospective study.","24939704"
"Offline Victimization, Psychological Morbidity, and Problematic Online Behavior among Chinese Secondary School Students.","34574391"
"The Mediating Roles of Emotional Regulation on Negative Emotion and Internet Addiction Among Chinese Adolescents From a Development Perspective.","33897485"
"Internet addiction, depression, anxiety and stress among first year medical students after COVID-19 lockdown: A cross sectional study in West Bengal, India.","36618151"
"Association between parental marital conflict and Internet addiction: A moderated mediation analysis.","30048833"
"Relationship of internet addiction with depression and academic performance in Indian dental students.","30093808"
"Socioeconomic and Geographic Inequalities of Internet Addiction in Korean Adolescents.","26508969"
"Molecular genetic associations between a prominent serotonin transporter gene polymorphism (5-HTTLPR/rs25531) and individual differences in tendencies toward autistic traits and generalized internet use disorder in China and Germany.","36106519"
"Relationship between behavioral inhibition/activation system and Internet addiction among Chinese college students: The mediating effects of intolerance of uncertainty and self-control and gender differences.","36644769"
"Internet use and misuse: a multivariate regression analysis of the predictive factors of internet use among Greek adolescents.","18762980"
"Proneness to Boredom and Risk Behaviors During Adolescents' Free Time.","28776483"
"Molecular genetics of neurotransmitters and neuropeptides involved in Internet use disorders including first insights on a potential role of hypothalamus' oxytocin hormone.","34266607"
"Prevalence and associated factors of Internet addiction among undergraduate students at Al-Beheira Governorate, Egypt.","32676705"
"Design of a Guided Internet- and Mobile-Based Intervention for Internet Use Disorder-Study Protocol for a Two-Armed Randomized Controlled Trial.","32256409"
"Sleep problems and internet addiction among children and adolescents: a longitudinal study.","26854132"
"Prevalence and factors of addictive Internet use among adolescents in Wuhan, China: interactions of parental relationship with age and hyperactivity-impulsivity.","23596525"
