"Title","PMID","Year","Month","Title_trunc","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Label","...15"
"Gambling behavior of Louisiana students in grades 6 through 12.","10647140",2000,"Jan","Gambling behavior of Louisiana students in grades 6 through 12.",NA,"OBJECTIVES: The prevalence of problem and gambling behavior, the average age of ","Westphal, J R; Rush, J A; Stevens, L; Johnson, L J","Department of Psychiatry at Louisiana State University Medical Center, Shreveport ","eng","Journal Article; Research Support, Non-U.S. Gov't","Psychiatr Serv",NA,"Psychiatric services (Washington, D.C.)","gambling"
"Pathological gambling and DNA polymorphic markers at MAO-A and MAO-B genes.","10673777",2000,"Jan","Pathological gambling and DNA polymorphic markers at MAO-A and MAO-B genes.",NA,"This study was conducted to detect a possible association of MAOA and/or MAOB ","Ibanez, A; Perez de Castro, I; Fernandez-Piqueras, J; Blanco, C; Saiz-Ruiz, J","Department of Psychiatry, 'Ramon y Cajal' Hospital, Alcala University, Madrid, ","eng","Journal Article","Mol Psychiatry",NA,"Molecular psychiatry","gambling"
"[Epidemiology and comorbidity of depressive disorders].","10730097",2000,"Feb","[Epidemiology and comorbidity of depressive disorders].",NA,"Recent epidemiological surveys in general populations of different countries of ","Wacker, H R","Psychiatrische Universitatspoliklinik Basel.","ger","English Abstract; Journal Article; Review","Ther Umsch",NA,"Therapeutische Umschau. Revue therapeutique","gambling"
"Interventions for pathological gambling.","10796802",2000,NA,"Interventions for pathological gambling.",NA,"BACKGROUND: With the legalization of new forms of gambling there are increasing ","Oakley-Browne, M A; Adams, P; Mobberley, P M","Psychiatry and Behavioural Science, The University of Auckland, Private Bag ","eng","Journal Article; Review; Systematic Review","Cochrane Database Syst Rev",NA,"The Cochrane database of systematic reviews","gambling"
"Identifying office resource needs of Canadian physicians to help prevent, assess and treat patients with substance use and pathological gambling disorders.","10809519",2000,NA,"Identifying office resource needs of Canadian physicians to help prevent, assess ",NA,"A study was conducted to determine whether there is a need for office-based ","Rowan, M S; Galasso, C S","Department of Family Medicine, Dalhousie University, Halifax, Nova Scotia, ","eng","Journal Article; Research Support, Non-U.S. Gov't","J Addict Dis",NA,"Journal of addictive diseases","gambling"
"Prevalence estimates of pathological gambling in Switzerland.","10868471",2000,"Jun","Prevalence estimates of pathological gambling in Switzerland.",NA,"OBJECTIVE: The purpose of this study was to evaluate the prevalence of ","Bondolfi, G; Osiek, C; Ferrero, F","Psychiatric Department, Geneva University Hospitals, Switzerland.","eng","Journal Article; Research Support, Non-U.S. Gov't","Acta Psychiatr Scand",NA,"Acta psychiatrica Scandinavica","gambling"
"Pathological gambling among cocaine-dependent outpatients.","10873922",2000,"Jul","Pathological gambling among cocaine-dependent outpatients.",NA,"OBJECTIVE: The authors investigated the occurrence of pathological gambling among ","Hall, G W; Carriero, N J; Takushi, R Y; Montoya, I D; Preston, K L; Gorelick, D A","Intramural Research Program, National Institute on Drug Abuse, Baltimore, MD ","eng","Clinical Trial; Journal Article; Research Support, U.S. Gov't, P.H.S.","Am J Psychiatry",NA,"The American journal of psychiatry","gambling"
"Natural and treatment-assisted recovery from gambling problems: a comparison of resolved and active gamblers.","10885052",2000,"May","Natural and treatment-assisted recovery from gambling problems: a comparison of ",NA,"AIM: An exploratory study was conducted to understand the process of recovery ","Hodgins, D C; el-Guebaly, N","University of Calgary, Canada. dhodgins@ucalgary.ca","eng","Journal Article; Research Support, Non-U.S. Gov't","Addiction",NA,"Addiction (Abingdon, England)","gambling"
"Common genetic vulnerability for pathological gambling and alcohol dependence in men.","10891037",2000,"Jul","Common genetic vulnerability for pathological gambling and alcohol dependence in ",NA,"BACKGROUND: In comparison with alcohol dependence (AD), relatively little is ","Slutske, W S; Eisen, S; True, W R; Lyons, M J; Goldberg, J; Tsuang, M","Department of Psychology, Univerity of Missouri-Columbia 65211, USA. ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.; Twin Study","Arch Gen Psychiatry",NA,"Archives of general psychiatry","gambling"
"Expansion of gambling in Canada: implications for health and social policy.","10920734",2000,"Jul","Expansion of gambling in Canada: implications for health and social policy.",NA,"Canada experienced a dramatic increase in legalized gambling in the 1990s, ","Korn, D A","Department of Public Health Sciences, University of Toronto, Ont. ","eng","Journal Article","CMAJ",NA,"CMAJ : Canadian Medical Association journal = journal de l'Association medicale ","gambling"
"Psychiatric symptoms in problem gambling and non-problem gambling substance abusers.","10934578",2000,"Spring","Psychiatric symptoms in problem gambling and non-problem gambling substance ",NA,"This study compared demographic characteristics, Addiction Severity Index (ASI) ","Petry, N M","Department of Psychiatry, University of Connecticut School of Medicine, ","eng","Journal Article; Research Support, U.S. Gov't, P.H.S.","Am J Addict",NA,"The American journal on addictions","gambling"
"Pathological gambling behaviour: emergence secondary to treatment of Parkinson's disease with dopaminergic agents.","10945141",2000,NA,"Pathological gambling behaviour: emergence secondary to treatment of Parkinson's ",NA,"We present a case in which the use of low dose risperidone (a potent D2 and 5-HT2 ","Seedat, S; Kesler, S; Niehaus, D J; Stein, D J","Department of Psychiatry, University of Stellenbosch, Tygerberg, South Africa. ","eng","Case Reports; Journal Article; Research Support, Non-U.S. Gov't","Depress Anxiety",NA,"Depression and anxiety","gambling"
"Pathological gambling.","10986732",2000,"Sep","Pathological gambling.",NA,"With increasing access to gambling facilities through casinos, the Internet, and ","Hollander, E; Buchalter, A J; DeCaria, C M","Department of Psychiatry, Mount Sinai School of Medicine, New York, New York, ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","Psychiatr Clin North Am",NA,"The Psychiatric clinics of North America","gambling"
"Pathological and nonpathological gamblers: a survey in gambling settings.","10993389",2000,"Sep","Pathological and nonpathological gamblers: a survey in gambling settings.",NA,"In this first study on gambling in Brazil, pathological and non-pathological ","Oliveira, M P; Silva, M T","Department of Psychiatry, Escola Paulista de Medicina, Federal University of Sao ","eng","Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","Subst Use Misuse",NA,"Substance use & misuse","gambling"
"Psychophysiological assessment of compulsive gamblers' arousal to gambling cues: a pilot study.","10999234",2000,"Sep","Psychophysiological assessment of compulsive gamblers' arousal to gambling cues: ",NA,"Psychophysiological assessments measuring heart rate, systolic and diastolic ","Blanchard, E B; Wulfert, E; Freidenberg, B M; Malta, L S","Center for Stress and Anxiety Disorders, University at Albany, State University ","eng","Journal Article","Appl Psychophysiol Biofeedback",NA,"Applied psychophysiology and biofeedback","gambling"
"Pathological gambling.","1102038",1975,NA,"Pathological gambling.",NA,NA,"Moran, E",NA,"eng","Journal Article; Review","Br J Psychiatry",NA,"The British journal of psychiatry : the journal of mental science","gambling"
"Descriptive features of Turkish pathological gamblers.","11041308",2000,"Sep","Descriptive features of Turkish pathological gamblers.",NA,"This study investigated the descriptive features of Turkish pathological ","Duvarci, I; Varan, A","Department of Psychiatry, Ege University Medical School, Turkey.","eng","Journal Article","Scand J Psychol",NA,"Scandinavian journal of psychology","gambling"
"Health tips. Recognizing a gambling addiction.","11071007",2000,"Nov","Health tips. Recognizing a gambling addiction.",NA,NA,NA,NA,"eng","Journal Article","Mayo Clin Health Lett",NA,"Mayo Clinic health letter (English ed.)","gambling"
"Casino gambling increases heart rate and salivary cortisol in regular gamblers.","11074233",2000,"Nov","Casino gambling increases heart rate and salivary cortisol in regular gamblers.",NA,"BACKGROUND: Although the effects of gambling on cardiovascular parameters have ","Meyer, G; Hauffa, B P; Schedlowski, M; Pawlak, C; Stadler, M A; Exton, M S","Institute of Psychology and Cognition Research, University of Bremen, Bremen, ","eng","Clinical Trial; Journal Article","Biol Psychiatry",NA,"Biological psychiatry","gambling"
"Prevalence of problem gambling among community service users.","11079187",2000,"Dec","Prevalence of problem gambling among community service users.",NA,"The prevalence of pathological gambling has been investigated in many countries ","Lepage, C; Ladouceur, R; Jacques, C","Ecole de Psychologie, Universite Laval, Quebec, Canada.","eng","Journal Article; Research Support, Non-U.S. Gov't","Community Ment Health J",NA,"Community mental health journal","gambling"
"Contemporary issues and future directions for research into pathological gambling.","11092063",2000,"Aug","Contemporary issues and future directions for research into pathological ",NA,"The recent healthy increase in research into all aspects of gambling is noted. ","Dickerson, M; Baron, E","School of Psychology, University of Western Sydney, NSW, Australia. ","eng","Journal Article; Review","Addiction",NA,"Addiction (Abingdon, England)","gambling"
"Reward deficiency syndrome: genetic aspects of behavioral disorders.","11105655",2000,NA,"Reward deficiency syndrome: genetic aspects of behavioral disorders.",NA,"The dopaminergic and opioidergic reward pathways of the brain are critical for ","Comings, D E; Blum, K","Department of Medical Genetics, City of Hope Medical Center, Duarte, CA 91010, ","eng","Journal Article; Review","Prog Brain Res",NA,"Progress in brain research","gambling"
"Impact of availability on gambling: a longitudinal study.","11143830",2000,"Nov","Impact of availability on gambling: a longitudinal study.",NA,"OBJECTIVE: Legalized gambling opportunities have markedly increased in most ","Jacques, C; Ladouceur, R; Ferland, F","Research Associate, Ecole de psychologie, Universite Laval, Quebec, Quebec.","eng","Journal Article; Research Support, Non-U.S. Gov't","Can J Psychiatry",NA,"Canadian journal of psychiatry. Revue canadienne de psychiatrie","gambling"
"Illegal behaviors in problem gambling: analysis of data from a gambling helpline.","11196248",2000,NA,"Illegal behaviors in problem gambling: analysis of data from a gambling helpline.",NA,"Problem gambling behaviors, particularly the most severe form, which is ","Potenza, M N; Steinberg, M A; McLaughlin, S D; Rounsaville, B J; O'Malley, S S","Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA. ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.","J Am Acad Psychiatry Law",NA,"The journal of the American Academy of Psychiatry and the Law","gambling"
"Schizophrenia and pathological gambling.","11229999",2001,"Mar","Schizophrenia and pathological gambling.",NA,NA,"Potenza, M N; Chambers, R A",NA,"eng","Case Reports; Letter","Am J Psychiatry",NA,"The American journal of psychiatry","gambling"
"Gambling addiction.","11271131",2000,"May-Jun","Gambling addiction.",NA,NA,"Sherer, S","Humboldt Open Door Clinic, Arcata, California, USA.","eng","Journal Article","Lippincotts Prim Care Pract",NA,"Lippincott's primary care practice","gambling"
"Reward deficiency syndrome: a biogenetic model for the diagnosis and treatment of impulsive, addictive, and compulsive behaviors.","11280926",2000,"Nov","Reward deficiency syndrome: a biogenetic model for the diagnosis and treatment of ",NA,"The dopaminergic system, and in particular the dopamine D2 receptor, has been ","Blum, K; Braverman, E R; Holder, J M; Lubar, J F; Monastra, V J; Miller, D; Lubar, J O; Chen, T J; Comings, D E","Department of Biological Sciences, University of North Texas, Denton, Texas, USA.","eng","Journal Article; Research Support, Non-U.S. Gov't; Review","J Psychoactive Drugs",NA,"Journal of psychoactive drugs","gambling"
"Substance abuse, pathological gambling, and impulsiveness.","11297829",2001,"Jun","Substance abuse, pathological gambling, and impulsiveness.",NA,"This study evaluated behavioral and self-report indices of impulsiveness in ","Petry, N M","Department of Psychiatry, University of Connecticut School of Medicine, 263 ","eng","Journal Article; Research Support, U.S. Gov't, P.H.S.","Drug Alcohol Depend",NA,"Drug and alcohol dependence","gambling"
"Underlying cognitions in the selection of lottery tickets.","11344463",2001,"Jun","Underlying cognitions in the selection of lottery tickets.",NA,"There is evidence that the faulty cognitions underlying an individual's playing ","Hardoon, K K; Baboushkin, H R; Derevensky, J L; Gupta, R","Department of Educational & Conselling Psychology, McGill University, Motreal, ","eng","Clinical Trial; Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","J Clin Psychol",NA,"Journal of clinical psychology","gambling"
"A twin study of the association between pathological gambling and antisocial personality disorder.","11358024",2001,"May","A twin study of the association between pathological gambling and antisocial ",NA,"Many individuals with a history of pathological gambling (PG) also have a history ","Slutske, W S; Eisen, S; Xian, H; True, W R; Lyons, M J; Goldberg, J; Tsuang, M","Department of Psychological Sciences, University of Missouri--Columbia 65211, ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.; Twin Study","J Abnorm Psychol",NA,"Journal of abnormal psychology","gambling"
"Double-blind naltrexone and placebo comparison study in the treatment of pathological gambling.","11377409",2001,"Jun","Double-blind naltrexone and placebo comparison study in the treatment of ",NA,"BACKGROUND: The authors' goal was to assess the efficacy and tolerability of ","Kim, S W; Grant, J E; Adson, D E; Shin, Y C","Department of Psychiatry, University of Minnesota Medical School, Minneapolis, ","eng","Clinical Trial; Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Biol Psychiatry",NA,"Biological psychiatry","gambling"
"The epidemiology of pathological gambling.","11447567",2001,"Jul","The epidemiology of pathological gambling.",NA,"Increased attention has been given to the disorder of pathological gambling, ","Cunningham-Williams, R M; Cottler, L B","Department of Psychiatry, Washington University School of Medicine, St. Louis, MO ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","Semin Clin Neuropsychiatry",NA,"Seminars in clinical neuropsychiatry","gambling"
"Pathological gambling: addiction or compulsion?","11447568",2001,"Jul","Pathological gambling: addiction or compulsion?",NA,"There is considerable debate about the appropriate conceptualization of ","Blanco, C; Moreyra, P; Nunes, E V; Saiz-Ruiz, J; Ibanez, A","Department of Psychiatry, Columbia University/New York State Psychiatric ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","Semin Clin Neuropsychiatry",NA,"Seminars in clinical neuropsychiatry","gambling"
"A behavioral approach to understanding and treating pathological gambling.","11447569",2001,"Jul","A behavioral approach to understanding and treating pathological gambling.",NA,"This report provides a behavioral account of gambling and its treatment. It ","Petry, N M; Roll, J M","University of Connecticut Health Center, Department of Psychiatry, Farmington, CT ","eng","Journal Article; Research Support, U.S. Gov't, P.H.S.; Review","Semin Clin Neuropsychiatry",NA,"Seminars in clinical neuropsychiatry","gambling"
"Neurobiology of decision-making: risk and reward.","11447572",2001,"Jul","Neurobiology of decision-making: risk and reward.",NA,"Neurological patients with bilateral ventromedial (VM) lesions of the prefrontal ","Bechara, A","Department of Neurology, College of Medicine, University of Iowa, Iowa City, IA ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","Semin Clin Neuropsychiatry",NA,"Seminars in clinical neuropsychiatry","gambling"
"The neurobiology of pathological gambling.","11447573",2001,"Jul","The neurobiology of pathological gambling.",NA,"Despite relatively high prevalence rates and significant morbidity and mortality ","Potenza, M N","Division of Substance Abuse, Department of Psychiatry, Yale University School of ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","Semin Clin Neuropsychiatry",NA,"Seminars in clinical neuropsychiatry","gambling"
"Updating and refining prevalence estimates of disordered gambling behaviour in the United States and Canada.","11496623",2001,"May-Jun","Updating and refining prevalence estimates of disordered gambling behaviour in ",NA,"BACKGROUND: This study updates prevalence estimates of gambling-related disorders ","Shaffer, H J; Hall, M N","Division on Addictions, Harvard Medical School, 220 Longwood Avenue, Boston, MA ","eng","Comparative Study; Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't","Can J Public Health",NA,"Canadian journal of public health = Revue canadienne de sante publique","gambling"
"Pathological gamblers, with and without substance use disorders, discount delayed rewards at high rates.","11502091",2001,"Aug","Pathological gamblers, with and without substance use disorders, discount delayed ",NA,"Pathological gambling is classified as a disorder of impulse control, yet little ","Petry, N M","Department of Psychiatry, University of Connecticut School of Medicine, ","eng","Comparative Study; Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","J Abnorm Psychol",NA,"Journal of abnormal psychology","gambling"
"A case of pathological gambling--its features and mangement.","11513060",2001,"May","A case of pathological gambling--its features and mangement.",NA,"Pathological gambling (PG) represents the end spectrum of gambling behaviours. It ","Lim, K D","National Centre for Treatment & Development (Alcohol, drugs & other addictions), ","eng","Case Reports; Journal Article","Singapore Med J",NA,"Singapore medical journal","gambling"
"An open naltrexone treatment study in pathological gambling disorder.","11552772",2001,"Sep","An open naltrexone treatment study in pathological gambling disorder.",NA,"The present study was designed to test the short-term efficacy and safety of ","Kim, S W; Grant, J E","Department of Psychiatry, University of Minnesota Medical School, Minneapolis ","eng","Journal Article","Int Clin Psychopharmacol",NA,"International clinical psychopharmacology","gambling"
"Characteristics of geriatric patients seeking medication treatment for pathologic gambling disorder.","11563435",2001,"Fall","Characteristics of geriatric patients seeking medication treatment for pathologic ",NA,"This study was constructed to compare geriatric patients seeking medication ","Grant, J E; Kim, S W; Brown, E","Department of Psychiatry, University of Minnesota School of Medicine, Minneapolis ","eng","Clinical Trial; Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","J Geriatr Psychiatry Neurol",NA,"Journal of geriatric psychiatry and neurology","gambling"
"Cognitive changes in pathological gamblers following a 28-day inpatient program.","11563802",2001,"Sep","Cognitive changes in pathological gamblers following a 28-day inpatient program.",NA,"A cognitive explanation for pathological gambling (PG) posits that problem ","Breen, R B; Kruedelbach, N G; Walker, H I","Department of Psychiatry and Human Behavior, Brown University School of Medicine, ","eng","Journal Article","Psychol Addict Behav",NA,"Psychology of addictive behaviors : journal of the Society of Psychologists in ","gambling"
"Psychiatric comorbidity in pathological gamblers seeking treatment.","11579014",2001,"Oct","Psychiatric comorbidity in pathological gamblers seeking treatment.",NA,"OBJECTIVE: The authors' goal was to determine the frequency of psychiatric ","Ibanez, A; Blanco, C; Donahue, E; Lesieur, H R; Perez de Castro, I; Fernandez-Piqueras, J; Saiz-Ruiz, J","Department of Psychiatry, Hospital Ramon y Cajal, Alcala University, Madrid, ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Am J Psychiatry",NA,"The American journal of psychiatry","gambling"
"Alcohol and gambling pathology among U.S. adults: prevalence, demographic patterns and comorbidity.","11702810",2001,"Sep","Alcohol and gambling pathology among U.S. adults: prevalence, demographic ",NA,"OBJECTIVE: This study was designed to determine the prevalence and demographic ","Welte, J; Barnes, G; Wieczorek, W; Tidwell, M C; Parker, J","Research Institute on Addictions, Buffalo, New York 14203, USA.","eng","Journal Article; Research Support, U.S. Gov't, P.H.S.","J Stud Alcohol",NA,"Journal of studies on alcohol","gambling"
"Clinical care of gambling disorders: training, experience, and competence among VHA psychologists.","11705207",2001,"Summer","Clinical care of gambling disorders: training, experience, and competence among ",NA,"Problem gambling is a common, highly destructive disorder which is often ","Drebing, C E; Mello, A; Penk, W; Krebs, C; Van Ormer, E A; Peterson, R L; Federman, E J","Boston University Medical School, MA, USA. CHARLES.DREBING@MED.VA.GOV","eng","Journal Article; Research Support, U.S. Gov't, Non-P.H.S.","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"A comparison of horse-race, bingo, and video poker gamblers in Brazilian gambling settings.","11705208",2001,"Summer","A comparison of horse-race, bingo, and video poker gamblers in Brazilian gambling ",NA,"In the present study Brazilian gamblers from different settings were compared on ","Oliveira, M P; Silva, M T","Pathological Gambling Program (PROAD), Department of Psychiatry, Escola Paulista ","eng","Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"Gender differences in gambling progression.","11705209",2001,"Summer","Gender differences in gambling progression.",NA,"The authors compared 39 women and 38 men entering an outpatient treatment program ","Tavares, H; Zilberman, M L; Beites, F J; Gentil, V","University of Sao Paulo Medical School.","eng","Journal Article; Research Support, Non-U.S. Gov't","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"Modification in the proposed diagnostic criteria for Internet addiction.","11710263",2001,"Jun","Modification in the proposed diagnostic criteria for Internet addiction.",NA,"The Internet is a new technology that has impacted the world and provided many ","Beard, K W; Wolf, E M","School of Professional Psychology, Wright State University, Dayton, Ohio, USA. ","eng","Journal Article","Cyberpsychol Behav",NA,"Cyberpsychology & behavior : the impact of the Internet, multimedia and virtual ","gambling"
"Pathological gambling: an increasing public health problem.","11722297",2001,"Oct","Pathological gambling: an increasing public health problem.",NA,NA,"Bondolfi, G; Ladouceur, R",NA,"eng","Comment; Editorial","Acta Psychiatr Scand",NA,"Acta psychiatrica Scandinavica","gambling"
"Personality dimensions in pathological gambling disorder and obsessive-compulsive disorder.","11728609",2001,"Nov","Personality dimensions in pathological gambling disorder and obsessive-compulsive ",NA,"This study was conducted to investigate the similarities and differences in the ","Kim, S W; Grant, J E","Department of Psychiatry, University of Minnesota School of Medicine, F256/2A ","eng","Clinical Trial; Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial","Psychiatry Res",NA,"Psychiatry research","gambling"
"Plasma testosterone and pathological gambling.","11740981",2001,"Dec","Plasma testosterone and pathological gambling.",NA,"The authors studied plasma testosterone levels and psychological characteristics ","Blanco, C; Ibanez, A; Blanco-Jerez, C R; Baca-Garcia, E; Saiz-Ruiz, J","Department of Psychiatry, Columbia University and New York State Psychiatric ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Psychiatry Res",NA,"Psychiatry research","gambling"
"Cognitive treatment of pathological gambling.","11758661",2001,"Nov","Cognitive treatment of pathological gambling.",NA,"This study evaluated the efficacy of a cognitive treatment package for ","Ladouceur, R; Sylvain, C; Boutin, C; Lachance, S; Doucet, C; Leblond, J; Jacques, C","Department of Psychology, Universite Laval, Ste-Foy, Quebec, Canada.","eng","Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","J Nerv Ment Dis",NA,"The Journal of nervous and mental disease","gambling"
"Gender differences in pathological gamblers seeking medication treatment.","11788920",2002,"Jan-Feb","Gender differences in pathological gamblers seeking medication treatment.",NA,"Gender differences in pathological gambling disorder (PGD) have received little ","Grant, Jon E; Kim, Suck Won","Department of Psychiatry, University of Minnesota School of Medicine, 2450 ","eng","Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","Compr Psychiatry",NA,"Comprehensive psychiatry","gambling"
"An open-label study of citalopram in the treatment of pathological gambling.","11838625",2002,"Jan","An open-label study of citalopram in the treatment of pathological gambling.",NA,"BACKGROUND: This study evaluated the effectiveness of citalopram in the treatment ","Zimmerman, Mark; Breen, Robert B; Posternak, Michael A","Department of Psychiatry and Human Behavior, Brown University School of Medicine, ","eng","Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't","J Clin Psychiatry",NA,"The Journal of clinical psychiatry","gambling"
"Manipulations of the features of standard video lottery terminal (VLT) games: effects in pathological and non-pathological gamblers.","11842526",2001,"Winter","Manipulations of the features of standard video lottery terminal (VLT) games: ",NA,"The present study was conducted to identify game parameters that would reduce the ","Loba, P; Stewart, S H; Klein, R M; Blackburn, J R","Dalhousie Gambling Laboratory, Department of Psychology, Dalhousie University, ","eng","Journal Article; Research Support, Non-U.S. Gov't","J Gambl Stud",NA,"Journal of gambling studies","gambling"
