"Title","Author_Info","Journal_Year_Info"
"Problematic cybersex: Conceptualization, assessment, and treatment.","Wéry A, et al.","Addict Behav. 2017."
"Sexual, addiction and mental health care needs among men who have sex with men practicing chemsex - a cross-sectional study in the Netherlands.","Evers YJ, et al.","Prev Med Rep. 2020."
"Treating Out of Control Sexual Behavior: Rethinking Sex Addiction.","Lam A, et al.","J Sex Marital Ther. 2016."
"Sexual addiction 25 years on: A systematic and methodological review of empirical literature and an agenda for future research.","Grubbs JB, et al.","Clin Psychol Rev. 2020."
"Sexual-addiction diagnosis supports anti-sex movement.","Kennedy E.","Nurse Pract. 1991."
"Is Compulsive Sexual Behavior Different in Women Compared to Men?","Kürbitz LI, et al.","J Clin Med. 2021."
"[Recovery from Sexual Addiction].","Yoshioka T.","Brain Nerve. 2016."
"Technology-Mediated Sexual Interactions, Social Anxiety, and Sexual Wellbeing: A Scoping Review.","Shaughnessy K, et al.","Eur J Investig Health Psychol Educ. 2022."
"Barriers to female sex addiction treatment in the UK.","Dhuffar MK, et al.","J Behav Addict. 2016."
"What does ""Sexual"" mean in compulsive sexual behavior disorder? •","Briken P, et al.","J Behav Addict. 2022."
"Sexual compulsion--relationship with sex, attachment and sexual orientation.","Weinstein A, et al.","J Behav Addict. 2015."
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.","Alimoradi Z, et al.","Curr Addict Rep. 2022."
"Moral incongruence and addiction: A registered report.","Grubbs JB, et al.","Psychol Addict Behav. 2022."
"[Behavioral Addictions in Psychosomatic Care].","Wölfling K, et al.","Psychother Psychosom Med Psychol. 2022."
"Validation of a brief sex addiction screening instrument (PATHOS) and prediction of sex addiction in the Iranian population.","Zareiyan A, et al.","Trends Psychiatry Psychother. 2021."
"Online Sex Addiction: A Qualitative Analysis of Symptoms in Treatment-Seeking Men.","Blinka L, et al.","Front Psychiatry. 2022."
"Measuring sexual addiction and compulsivity: a critical review of instruments.","Hook JN, et al.","J Sex Marital Ther. 2010."
"Conceptualization and Assessment of Hypersexual Disorder: A Systematic Review of the Literature.","Montgomery-Graham S.","Sex Med Rev. 2017."
"Compulsive sexual behavior, religiosity, and spirituality: A systematic review.","Jennings TL, et al.","J Behav Addict. 2021."
"Sexual addiction and marriage and family therapy: facilitating individual and relationship healing through couple therapy.","Bird MH.","J Marital Fam Ther. 2006."
"[Internet addiction].","Dannon PN, et al.","Harefuah. 2007."
"BARONESS CHARLOTTA CASTELLI GLEMBAY - WAS SHE HYPERSEXUAL?","Arbanas G.","Acta Med Hist Adriat. 2021."
"Incongruence as a Variable Feature of Problematic Sexual Behaviors in an Online Sample of Self-Reported ""Sex Addiction"".","Walton MT.","Arch Sex Behav. 2019."
"Sexual Addiction and Associated Factors: The Role of Emotion Dysregulation, Impulsivity, Anxiety and Depression.","Hegbe KG, et al.","J Sex Marital Ther. 2021."
"Online dating is associated with sex addiction and social anxiety.","Zlot Y, et al.","J Behav Addict. 2018."
"The Link Between Boredom and Hypersexuality: A Systematic Review.","de Oliveira L, et al.","J Sex Med. 2020."
"Neurobiological Basis of Hypersexuality.","Kühn S, et al.","Int Rev Neurobiol. 2016."
"Is love passion an addictive disorder?","Reynaud M, et al.","Am J Drug Alcohol Abuse. 2010."
"Sexual addiction: insights from psychoanalysis and functional neuroimaging.","Estellon V, et al.","Socioaffect Neurosci Psychol. 2012."
"Spanish validation of the Sexual Addiction Screening Test.","Castro-Calvo J, et al.","J Behav Addict. 2018."
"The contribution of personality factors and gender to ratings of sex addiction among men and women who use the Internet for sex purpose.","Shimoni L, et al.","J Behav Addict. 2018."
"Hypersexuality Addiction and Withdrawal: Phenomenology, Neurogenetics and Epigenetics.","Blum K, et al.","Cureus. 2015."
"Mindfulness-Based Intervention and Sexuality: A Systematic Review.","Larraz AMC, et al.","Trends Psychiatry Psychother. 2023."
"[Sexual addiction: chimera or clinical syndrom? A plea for a clinical conceptualization].","Wölfle R.","Neuropsychiatr. 2010."
"Characteristics of self-identified sexual addicts in a behavioral addiction outpatient clinic.","Wéry A, et al.","J Behav Addict. 2016."
"Sex addiction.","Cordasco CF.","N C Med J. 1993."
"Hypersexual disorder: a proposed diagnosis for DSM-V.","Kafka MP.","Arch Sex Behav. 2010."
"Validation and Psychometric Evaluation of the Italian Version of the Bergen-Yale Sex Addiction Scale.","Soraci P, et al.","Int J Ment Health Addict. 2021."
"The Short French Internet Addiction Test Adapted to Online Sexual Activities: Validation and Links With Online Sexual Preferences and Addiction Symptoms.","Wéry A, et al.","J Sex Res. 2016."
"Which Techniques Are Used in Psychotherapeutic Interventions for Nonparaphilic Hypersexual Behavior?","von Franqué F, et al.","Sex Med Rev. 2015."
"Sexual addiction: designation and treatment.","Goodman A.","J Sex Marital Ther. 1992."
"Sexual addiction: many conceptions, minimal data.","Gold SN, et al.","Clin Psychol Rev. 1998."
"Neurobiology of addiction. An integrative review.","Goodman A.","Biochem Pharmacol. 2008."
"Clinical relevance of the proposed sexual addiction diagnostic criteria: relation to the Sexual Addiction Screening Test-Revised.","Carnes PJ, et al.","J Addict Med. 2014."
"[French validation of the Sexual Addiction Screening Test (SAST-Fr)].","Hegbe KG, et al.","Encephale. 2020."
"Sexual Motivations Underlying Compulsive Sexual Behavior in Women and Men From Germany and Hungary.","Koós M, et al.","J Sex Med. 2022."
"Hypersexual behaviour among young adults in Germany: characteristics and personality correlates.","Jepsen D, et al.","BMC Psychiatry. 2022."
"Predictors of Compulsive Sexual Behavior Among Treatment-Seeking Women.","Kowalewska E, et al.","Sex Med. 2022."
"Sexual Addiction, Hypersexual Behavior and Relative Psychological Dynamics during the Period of Social Distancing and Stay-at-Home Policies Due to COVID-19.","Caponnetto P, et al.","Int J Environ Res Public Health. 2022."
"[Can we treat sexual addiction ?].","Inescu Cismaru A, et al.","Rev Med Liege. 2013."
"Neural and behavioral correlates of sexual stimuli anticipation point to addiction-like mechanisms in compulsive sexual behavior disorder.","Liberg B, et al.","J Behav Addict. 2022."
"The psychometric properties of the Bergen-Yale sex addiction scale for the Iranian population.","Youseflu S, et al.","BMC Psychiatry. 2021."
"An integrative theoretical framework for understanding sexual motivation, arousal, and behavior.","Toates F.","J Sex Res. 2009."
"Narcissism - the refusal of twoness through sexual addiction and pornography.","Schwartz SE.","J Anal Psychol. 2022."
"Compulsive Sexual Behavior and Alcohol Use Disorder Treated With Naltrexone: A Case Report and Literature Review.","Sultana T, et al.","Cureus. 2022."
"Siblings, sex, and shame: The film Shame (2011).","Schiller BM.","Int J Psychoanal. 2021."
"Sexual desire, not hypersexuality, is related to neurophysiological responses elicited by sexual images.","Steele VR, et al.","Socioaffect Neurosci Psychol. 2013."
"Physiological, Psychosocial and Substance Abuse Effects of Pornography Addiction: A Narrative Review.","Mehmood Qadri H, et al.","Cureus. 2023."
"Cybersex addiction in a gay man: a case report.","Skryabin V, et al.","J Addict Dis. 2021."
"[Sex addiction and the GP practice].","van Zessen G, et al.","Ned Tijdschr Geneeskd. 2018."
"Meditation Awareness Training for the Treatment of Sex Addiction: A Case Study.","Van Gordon W, et al.","J Behav Addict. 2016."
"Paraphilic Thoughts, Behaviors and Sex Addiction in a Sample of Persons Who Use Drugs: A Cross-Sectional Study.","Clemente J, et al.","J Addict Med. 2017."
"Polish adaptation of Sexual Addiction Screening Test - Revised.","Gola M, et al.","Psychiatr Pol. 2017."
"How should severity be determined for the DSM-5 proposed classification of Hypersexual Disorder?","Reid RC.","J Behav Addict. 2015."
"The Development and Validation of the Bergen-Yale Sex Addiction Scale With a Large National Sample.","Andreassen CS, et al.","Front Psychol. 2018."
"Sex addiction and gambling disorder: similarities and differences.","Farré JM, et al.","Compr Psychiatry. 2015."
"Sexual Desire and Subjective Distress among Pornography Consumers.","Droubay BA, et al.","J Sex Marital Ther. 2020."
"Evangelicalism, sexual morality, and sexual addiction: opposing views and continued conflicts.","Edger K.","J Relig Health. 2012."
"Sex, drugs, and rock 'n' roll: hypothesizing common mesolimbic activation as a function of reward gene polymorphisms.","Blum K, et al.","J Psychoactive Drugs. 2012."
"The GAy MEn Sex StudieS: design of an online registration of sexual behaviour of men having sex with men and preliminary results (GAMESSS-study).","Vansintejan J, et al.","Cent Eur J Public Health. 2013."
"Sexual Motivations Underlying Compulsive Sexual Behavior in Women and Men from Germany and Hungary.","Koós M, et al.","J Sex Med. 2022."
"Recognition and management of addictive sexual disorders: guide for the primary care clinician.","Carnes P, et al.","Lippincotts Prim Care Pract. 2000."
"[Sexual addiction? When sexual behavior gets out of control].","Briken P, et al.","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz. 2010."
"Use of Fluoxetine in Treating Compulsive Sexual Behavior: A Case Report.","Singh G, et al.","Cureus. 2022."
"[The treatment of non-chemical addictions].","Egorov AY.","Zh Nevrol Psikhiatr Im S S Korsakova. 2018."
"[Societal evolution of sexuality].","Cour F.","Prog Urol. 2013."
"A comparative study of nonparaphilic sexual addictions and paraphilias in men.","Kafka MP, et al.","J Clin Psychiatry. 1992."
"Promoting educational, classification, treatment, and policy initiatives.","Gola M, et al.","J Behav Addict. 2018."
"Should compulsive sexual behavior (CSB) be considered as a behavioral addiction? A debate paper presenting the opposing view.","Sassover E, et al.","J Behav Addict. 2020."
"Disorders due to addictive behaviors: Further issues, debates, and controversies •","Griffiths MD.","J Behav Addict. 2022."
"[ACT in the treatment of sexual addiction: About a clinical case].","Lantheaume S.","Encephale. 2018."
"Hypersexuality in neurological diseases: do we see only the tip of the iceberg?","Latella D, et al.","J Integr Neurosci. 2021."
"Prevalence of Distress Associated With Difficulty Controlling Sexual Urges, Feelings, and Behaviors in the United States.","Dickenson JA, et al.","JAMA Netw Open. 2018."
"The Cancer of Cancel Culture: Spreading ""Correct"" Scientific Ideologies Across North American Academia.","Pfaus JG.","Arch Sex Behav. 2023."
"Compulsive sexual behaviour as a behavioural addiction: the impact of the internet and other issues.","Griffiths MD.","Addiction. 2016."
"[Pornography and sexual abuse in the Internet].","Hill A, et al.","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz. 2007."
"[Internet and cell phone addiction: passing fad or disorder?].","Sanchez-Carbonell X, et al.","Adicciones. 2008."
"Diagnosis and treatment of sexual addiction.","Goodman A.","J Sex Marital Ther. 1993."
"Prevalence of Suicidal Behavior and Associated Clinical Correlates in Patients with Behavioral Addictions.","Valenciano-Mendoza E, et al.","Int J Environ Res Public Health. 2021."
"Unexplained bone pain and sexual addiction.","Crépin JC, et al.","BMJ Case Rep. 2018."
"A Case-Control Study on Behavioral Addictions and Neurocognition: Description of the BANCO and BANCO2 Protocols.","Hurel E, et al.","Neuropsychiatr Dis Treat. 2021."
"[Sex ""addiction"": compulsion and controversy].","Souza y Machorro M.","Ginecol Obstet Mex. 2002."
"Transcranial direct current stimulation (tDCS) in behavioral and food addiction: a systematic review of efficacy, technical, and methodological issues.","Sauvaget A, et al.","Front Neurosci. 2015."
"Criminality and Sexual Behaviours in Substance Dependents Seeking Treatment.","Diehl A, et al.","J Psychoactive Drugs. 2016."
"Compulsive Buying Behavior: Clinical Comparison with Other Behavioral Addictions.","Granero R, et al.","Front Psychol. 2016."
"PATHOS: a brief screening application for assessing sexual addiction.","Carnes PJ, et al.","J Addict Med. 2012."
"Compulsive and addictive sexual disorders and the family.","Schneider JP.","CNS Spectr. 2000."
"Mental and sexual health perspectives of the International Classification of Diseases (ICD-11) Compulsive Sexual Behavior Disorder •","Lew-Starowicz M, et al.","J Behav Addict. 2022."
"Hypersexual behavior in an online sample of males: associations with personal distress and functional impairment.","Spenhoff M, et al.","J Sex Med. 2013."
"Sexual compulsivity among heterosexual college students.","Dodge B, et al.","J Sex Res. 2004."
"The Relationship between Compulsive Sexual Behavior, Religiosity, and Moral Disapproval.","Coleman E, et al.","J Sex Marital Ther. 2023."
"Psychometric Instruments for Problematic Pornography Use: A Systematic Review.","Fernandez DP, et al.","Eval Health Prof. 2021."
"Internet sex addiction and its negative consequences: a report.","Kaur J, et al.","J Clin Diagn Res. 2015."
"The mislabeling of sexual impulsivity.","Barth RJ, et al.","J Sex Marital Ther. 1987."
"PATHOS: a quick screening method for assessing sexual addiction.","Johnson P, et al.","J Pastoral Care Counsel. 2013."
"Human identity versus gender identity: The perception of sexual addiction among Iranian women.","Moshtagh M, et al.","Health Care Women Int. 2017."
"Assessment and treatment of addictive sexual disorders: relevance for chemical dependency relapse.","Schneider JP, et al.","Subst Use Misuse. 2001."
"Understanding the Personality and Behavioral Mechanisms Defining Hypersexuality in Men Who Have Sex With Men.","Miner MH, et al.","J Sex Med. 2016."
"Clinical management of sex addiction.","Leiblum SR.","Psychother Res. 2003."
"Accuracy of screening instruments for detection of neuropsychiatric syndromes in Parkinson's disease.","Martinez-Martin P, et al.","Mov Disord. 2016."
"Virtual sex addiction: when cybersex becomes the drug of choice.","Delmonico DL, et al.","Cyberpsychol Behav. 1999."
"Pornographic picture processing interferes with working memory performance.","Laier C, et al.","J Sex Res. 2013."
"Compulsive sexual behavior and psychopathology among treatment-seeking men in São Paulo, Brazil.","Scanavino Mde T, et al.","Psychiatry Res. 2013."
"Perceived ""out of control"" sexual behavior in a cohort of young adults from the Dunedin Multidisciplinary Health and Development Study.","Skegg K, et al.","Arch Sex Behav. 2010."
"Evaluating and treating sexual addiction.","Dawson GN, et al.","Am Fam Physician. 2012."
"A case report of pornography addiction with dhat syndrome.","Darshan MS, et al.","Indian J Psychiatry. 2014."
"Drug treatment of paraphilic and nonparaphilic sexual disorders.","Guay DR.","Clin Ther. 2009."
"[Prophylaxis of Internet sex addiction].","Kamiński R, et al.","Wiad Lek. 2004."
"Making addicts: critical reflections on agency and responsibility from lawyers and decision makers.","Seear K.","Psychiatr Psychol Law. 2023."
"Erectile Dysfunction Symptoms in Polydrug Dependents Seeking Treatment.","Clemente J, et al.","Subst Use Misuse. 2017."
"Understanding the role of shame and its consequences in female hypersexual behaviours: a pilot study.","Dhuffar MK, et al.","J Behav Addict. 2014."
"Understanding and managing compulsive sexual behaviors.","Fong TW.","Psychiatry (Edgmont). 2006."
"On-line sexual addiction: a contemporary enigma.","Bingham JE, et al.","Psychol Rep. 1996."
"Early childhood maltreatment experience and later sexual behavior in Brazilian adults undergoing treatment for substance dependence.","Diehl A, et al.","Braz J Psychiatry. 2019."
"Gambling disorder and comorbid behavioral addictions: Demographic, clinical, and personality correlates.","Tang KTY, et al.","Psychiatry Res. 2020."
"Self-reported indicators of hypersexuality and its correlates in a female online sample.","Klein V, et al.","J Sex Med. 2014."
"Drug consumption among sexual offenders against females.","Baltieri DA, et al.","Int J Offender Ther Comp Criminol. 2008."
"[Gambling and Internet habits in a French population with addictive disorders seeking treatment: a multicentric study].","Lever D, et al.","Encephale. 2021."
"[Psychometric properties of an instrument for assessing cyber-sex addiction].","Ballester Arnal R, et al.","Psicothema. 2010."
"A Case of Paraphilia with Osteoporosis and Administered with Depot Leuprorelin.","Kim D, et al.","Medicina (Kaunas). 2019."
"Diagnosis of hypersexual or compulsive sexual behavior can be made using ICD-10 and DSM-5 despite rejection of this diagnosis by the American Psychiatric Association.","Krueger RB.","Addiction. 2016."
"Global scientific production regarding behavioral addictions: An analysis of the literature from 1995 to 2019.","Sixto-Costoya A, et al.","Addict Behav Rep. 2021."
"Comparing serial and nonserial sexual offenders: alcohol and street drug consumption, impulsiveness and history of sexual abuse.","Baltieri DA, et al.","Braz J Psychiatry. 2008."
"[Addictions profiles as a tool for comparison of chemical and nonchemical dependencies].","Zalmunin KY, et al.","Zh Nevrol Psikhiatr Im S S Korsakova. 2018."
"Does internet dating mediate sexual addiction: A case study.","Sharma MK, et al.","Asian J Psychiatr. 2019."
"Marital instability and its predictors in a representative sample of Mashhadi citizens, Iran, 2014.","Vakili V, et al.","J Med Life. 2015."
"Three Diagnoses for Problematic Hypersexuality; Which Criteria Predict Help-Seeking Behavior?","van Tuijl P, et al.","Int J Environ Res Public Health. 2020."
"Additional challenges and issues in classifying compulsive sexual behavior as an addiction.","Reid RC.","Addiction. 2016."
"Response of clomipramine in sexual addiction.","Azhar M, et al.","Eur Psychiatry. 1995."
"Frequency of and Factors Associated with the Presence of a History of Probable Attention-Deficit Hyperactivity Disorder in a Population of Patients with Sex Addiction.","Schreck B, et al.","Eur Addict Res. 2023."
"SSRI Reduction of Nonparaphilic Sexual Addiction.","Elmore JL.","CNS Spectr. 2000."
"Therapists' Assessments in Treating ""Sex Addiction"" and Their Relationship to Clients' Gender, Relationship Status, and Exclusivity Status.","Reddick GT, et al.","J Marital Fam Ther. 2017."
"Naltrexone Use in Treating Hypersexuality Induced by Dopamine Replacement Therapy: Impact of OPRM1 A/G Polymorphism on Its Effectiveness.","Verholleman A, et al.","Int J Mol Sci. 2020."
"Separating Models Obscures the Scientific Underpinnings of Sex Addiction as a Disorder.","Carnes S, et al.","Arch Sex Behav. 2017."
"Psychopathological issues of technological addiction: new diagnostic criteria for addiction.","Caretti V, et al.","Stud Health Technol Inform. 2009."
"Correction to: The psychometric properties of the Bergen-Yale sex addiction scale for the Iranian population.","Youseflu S, et al.","BMC Psychiatry. 2021."
"The Relation Between Compulsive Sexual Behaviors and Aggression in a Substance-Dependent Population.","Elmquist J, et al.","J Aggress Maltreat Trauma. 2016."
"Clinicians' Beliefs, Observations, and Treatment Effectiveness Regarding Clients' Sexual Addiction and Internet Pornography Use.","Short MB, et al.","Community Ment Health J. 2016."
"Disorders of desire: addiction and problems of intimacy.","Keane H.","J Med Humanit. 2004."
"What is Normal Pornography Use in a Highly Religious Area? Exploring Patterns of Pornography Use in Utah.","Esplin CR, et al.","J Sex Med. 2022."
"A continuing medical education approach to improve sexual boundaries of physicians.","Spickard WA Jr, et al.","Bull Menninger Clin. 2008."
"""What is sexual addiction?"" A response to Stephen Levine.","Kafka MP.","J Sex Marital Ther. 2010."
"What is Normal Pornography Use in a Highly Religious Area? Exploring Patterns of Pornography Use in Utah.","Esplin CR, et al.","J Sex Med. 2022."
"Sexual Violence and Trauma in Childhood: A Case Report Based on Strategic Counseling.","Saladino V, et al.","Int J Environ Res Public Health. 2021."
"Involvement in Sexaholics Anonymous and life satisfaction: The mediating role of meaning in life and hope.","Wnuk M, et al.","J Behav Addict. 2022."
"Relations Between Self-Reported Adverse Events in Childhood and Hypersexuality in Adult Male Sexual Offenders.","Kingston DA, et al.","Arch Sex Behav. 2017."
"Sexual addiction and compulsion: recognition, treatment, and recovery.","Carnes PJ.","CNS Spectr. 2000."
"Internet sex addiction treated with naltrexone.","Bostwick JM, et al.","Mayo Clin Proc. 2008."
"The relationship between sexual addiction and sexual dysfunction.","Butts JD.","J Health Care Poor Underserved. 1992."
"The depressive façade in a case of compulsive sex behavior with frottage.","Kalra G.","Indian J Psychiatry. 2013."
"Social communication disorder and behavioural addiction: Case report and clinical implications.","Hurel E, et al.","J Behav Addict. 2021."
"HPA axis dysregulation in men with hypersexual disorder.","Chatzittofis A, et al.","Psychoneuroendocrinology. 2016."
"First case report of tDCS efficacy in severe chemsex addiction .","Malandain L, et al.","Dialogues Clin Neurosci. 2020."
"Atypical social reward anticipation as a transdiagnostic characteristic of psychopathology: A meta-analytic review and critical evaluation of current evidence.","Aldridge-Waddon L, et al.","Clin Psychol Rev. 2020."
"The sexual addict: a challenge for the primary care provider.","Schaffer SD, et al.","Nurse Pract. 1990."
"Compulsive sexual behavior: Prefrontal and limbic volume and interactions.","Schmidt C, et al.","Hum Brain Mapp. 2017."
"Drosophila Corazonin Neurons as a Hub for Regulating Growth, Stress Responses, Ethanol-Related Behaviors, Copulation Persistence and Sexually Dimorphic Reward Pathways.","Khan Z, et al.","J Dev Biol. 2021."
"Estimated Prevalence and Demographic Correlates of Compulsive Sexual Behavior Among Gay Men in the United States.","Gleason N, et al.","J Sex Med. 2021."
"The truth about sex addiction.","Cloud J.","Time. 2011."
"Glucose Modulates Human Ventral Tegmental Activity in Response to Sexual Stimuli.","Ulrich M, et al.","J Sex Med. 2018."
"Hypersexual Behavior as a Symptom of PTSD: Using Cognitive Processing Therapy in a Veteran with Military Sexual Trauma-Related PTSD.","Larsen SE.","Arch Sex Behav. 2019."
"Reward deficiency syndrome: a biogenetic model for the diagnosis and treatment of impulsive, addictive, and compulsive behaviors.","Blum K, et al.","J Psychoactive Drugs. 2000."
"Time Goes Back-Time Perspective in Polish Men with Compulsive Sexual Behavior Disorder and Risky Sexual Behavior.","Wyszomirska J, et al.","Int J Environ Res Public Health. 2023."
"Factors Predicting Cybersex Use and Difficulties in Forming Intimate Relationships among Male and Female Users of Cybersex.","Weinstein AM, et al.","Front Psychiatry. 2015."
"Aggravation of Obsessive-Compulsive Disorder Due to Excessive Porn Consumption: A Case Report.","Shrivastava T, et al.","Cureus. 2022."
"Two clusters of child molesters based on impulsiveness.","Baltieri DA, et al.","Braz J Psychiatry. 2015."
"The Contribution of Sex, Personality Traits, Age of Onset and Disorder Duration to Behavioral Addictions.","Valero-Solís S, et al.","Front Psychiatry. 2018."
"Logistic Regression With Machine Learning Sheds Light on the Problematic Sexual Behavior Phenotype.","Jiang S, et al.","J Addict Med. 2023."
"Intellectual disability complicated by sexual addiction: an uncommon presentation of a common condition.","Pang NT, et al.","BMJ Case Rep. 2017."
"Same Same but Different: A Clinical Characterization of Men with Hypersexual Disorder in the Sex@Brain Study.","Engel J, et al.","J Clin Med. 2019."
"Mediating Role of Intimate Partner Violence Between Emotional Dependence and Addictive Behaviours in Adolescents.","Macía P, et al.","Front Psychol. 2022."
"Sexual addiction being studied.","[No authors listed]","AIDS Patient Care STDS. 2003."
"Lethal asphyxiation due to sadomasochistic sex training - How some sex partners avoid criminal responsibility even though their actions lead to someone's death.","Sendler DJ.","J Forensic Leg Med. 2018."
"The Mediator Role of Early Maladaptive Schemas Between Childhood Sexual Abuse and Impulsive Symptoms in Female Survivors of CSA.","Estévez A, et al.","J Interpers Violence. 2019."
"Hypersexuality and pathological gambling in Parkinson's disease: A cross-sectional case-control study.","de Chazeron I, et al.","Mov Disord. 2011."
"Naltrexone in Compulsive Sexual Behavior Disorder: A Feasibility Study of Twenty Men.","Savard J, et al.","J Sex Med. 2020."
"Which Dimensions of Human Sexuality Are Related to Compulsive Sexual Behavior Disorder (CSBD)? Study Using a Multidimensional Sexuality Questionnaire on a Sample of Polish Males.","Kowalewska E, et al.","J Sex Med. 2019."
"Sexual addiction screening test.","Carnes P.","Tenn Nurse. 1991."
"[What is sexual addiction?].","Clement U.","Ther Umsch. 1994."
"Concurrence of compulsive buying and sexual addiction.","Yeh YW, et al.","Psychiatry Clin Neurosci. 2008."
"How to recognize the signs of sexual addiction. Asking the right questions may uncover serious problems.","Schneider JP.","Postgrad Med. 1991."
"Depression, anxiety, and compulsive sexual behaviour among men in residential treatment for substance use disorders: The role of experiential avoidance.","Brem MJ, et al.","Clin Psychol Psychother. 2017."
"[Chemical and behavioural addiction of medical students. Comparative study in Lebanese students].","Moaouad J, et al.","Encephale. 2012."
"Sexual Compulsivity Scale, Compulsive Sexual Behavior Inventory, and Hypersexual Disorder Screening Inventory: Translation, Adaptation, and Validation for Use in Brazil.","Scanavino Mde T, et al.","Arch Sex Behav. 2016."
"Cardiovascular and psychopathological factors among non-sexually compulsive, sexually compulsive, and hypersexual individuals in Sao Paulo, Brazil.","D T Scanavino M, et al.","Psychol Health Med. 2020."
"[Phenomenology of craving: from differentiation to adequate therapy].","Mendelevich VD.","Zh Nevrol Psikhiatr Im S S Korsakova. 2010."
"Are Borderline Personality Symptoms Associated With Compulsive Sexual Behaviors Among Women in Treatment for Substance Use Disorders? An Exploratory Study.","Elmquist J, et al.","J Clin Psychol. 2016."
"Screening hypersexuality in Parkinson's disease in everyday practice.","Pereira B, et al.","Parkinsonism Relat Disord. 2013."
"A response to Aviel Goodman's ""Sexual addiction: designation and treatment"".","Moser C.","J Sex Marital Ther. 1993."
"Episodic sexual addiction in a depressed woman treated with cyproterone acetate.","Dardennes R, et al.","J Clin Psychopharmacol. 2013."
"Estimated Prevalence and Demographic Correlates of Compulsive Sexual Behavior Among Gay Men in the United States.","Gleason N, et al.","J Sex Med. 2021."
"Psychometric development of the hypersexual behavior consequences scale.","Reid RC, et al.","J Behav Addict. 2012."
"A Cognitive-Behavioral Therapy Group Intervention for Hypersexual Disorder: A Feasibility Study.","Hallberg J, et al.","J Sex Med. 2017."
"Investigating Clinically and Scientifically Useful Cut Points on the Compulsive Sexual Behavior Inventory.","Miner MH, et al.","J Sex Med. 2017."
"Diagnosis and treatment of participants of support groups for hypersexual disorder.","Tierens E, et al.","Arch Ital Urol Androl. 2014."
"Mindfulness, emotional dysregulation, impulsivity, and stress proneness among hypersexual patients.","Reid RC, et al.","J Clin Psychol. 2014."
"The use of online methodologies in studying paraphilias - A review.","Griffiths MD.","J Behav Addict. 2012."
"The development of the Compulsive Sexual Behavior Disorder Scale (CSBD-19): An ICD-11 based screening measure across three languages.","Bőthe B, et al.","J Behav Addict. 2020."
"Treatment of compulsive sexual behaviour with clomipramine and valproic acid.","Gulsun M, et al.","Clin Drug Investig. 2007."
