"Title","Author_Info","Journal_Year_Info"
"Internet Gaming Disorder in the DSM-5.","Petry NM, et al.","Curr Psychiatry Rep. 2015."
"Breaking the habit.","Müller KW.","J Behav Addict. 2018."
"Comparison of frontostriatal circuits in adolescent nicotine addiction and internet gaming disorder.","von Deneen KM, et al.","J Behav Addict. 2022."
"A Tripartite Neurocognitive Model of Internet Gaming Disorder.","Wei L, et al.","Front Psychiatry. 2017."
"Comparison of the Video Game Functional Assessment-Revised (VGFA-R) and Internet Gaming Disorder Test (IGD-20).","Sprong ME, et al.","Front Psychol. 2019."
"Pathologische Mediennutzung bei Kindern und Jugendlichen – eine Perspektive für die Praxis.","Bilke-Hentsch O.","Praxis (Bern 1994). 2017."
"Prevalence of gaming disorder: A meta-analysis.","Kim HS, et al.","Addict Behav. 2022."
"Neurophysiological Markers of Internet Gaming Disorder: A Literature Review of Electroencephalography Studies.","Kashif S Sr, et al.","Cureus. 2021."
"Reliability Generalization Meta-Analysis of Internet Gaming Disorder Scale.","Gisbert-Pérez J, et al.","Healthcare (Basel). 2022."
"A Scoping Review of Cognitive Bias in Internet Addiction and Internet Gaming Disorders.","Chia DXY, et al.","Int J Environ Res Public Health. 2020."
"Treatment of Internet gaming disorder: An international systematic review and CONSORT evaluation.","King DL, et al.","Clin Psychol Rev. 2017."
"Sexual Differences in Internet Gaming Disorder (IGD): From Psychological Features to Neuroanatomical Networks.","Marraudino M, et al.","J Clin Med. 2022."
"Under the umbrella.","Müller KW.","J Behav Addict. 2017."
"Exploring the prevalence of gaming disorder and Internet gaming disorder: a rapid scoping review.","Darvesh N, et al.","Syst Rev. 2020."
"Internet gaming disorder treatment: a review of definitions of diagnosis and treatment outcome.","King DL, et al.","J Clin Psychol. 2014."
"Internet Gaming Disorder: Evidence for a Risk and Resilience Approach.","Warburton WA, et al.","Int J Environ Res Public Health. 2022."
"Neural Basis of Video Gaming: A Systematic Review.","Palaus M, et al.","Front Hum Neurosci. 2017."
"The Association Between Internet Gaming Disorder and Sensation Seeking Among Arab Adolescents.","Hamid MS, et al.","Front Psychiatry. 2022."
"Novel approaches for treating Internet Gaming Disorder: A review of technology-based interventions.","Gorowska M, et al.","Compr Psychiatry. 2022."
"Neurobiological correlates of internet gaming disorder: Similarities to pathological gambling.","Fauth-Bühler M, et al.","Addict Behav. 2017."
"Gaming Disorder in Adults with Autism Spectrum Disorder.","Murray A, et al.","J Autism Dev Disord. 2022."
"Investigating how internet gaming disorder and bodily dissociation experiences vary by game genres.","Casale S, et al.","Cogn Process. 2022."
"Editorial: Neural Mechanisms Underlying Internet Gaming Disorder.","Zhang JT, et al.","Front Psychiatry. 2018."
"Reconsidering Internet Gaming Disorder During the COVID-19 Pandemic.","Blake E, et al.","J Technol Behav Sci. 2021."
"Internet gaming disorder and the DSM-5.","Petry NM, et al.","Addiction. 2013."
"Game of thorns: Modern day opium.","Bhat PS, et al.","Med J Armed Forces India. 2019."
"Internet gaming disorder does not qualify as a mental disorder.","Dullur P, et al.","Aust N Z J Psychiatry. 2018."
"Internet gaming disorder: Trends in prevalence 1998-2016.","Feng W, et al.","Addict Behav. 2017."
"Conceptual Issues Concerning Internet Addiction and Internet Gaming Disorder: Further Critique on Ryding and Kaye (2017).","Griffiths MD.","Int J Ment Health Addict. 2018."
"""One level more:"" A narrative review on internet gaming disorder.","Naskar S, et al.","Ind Psychiatry J. 2016."
"Exploring Internet gaming disorder: an updated perspective of empirical evidence (from 2016 to 2021).","Mestre-Bach G, et al.","Compr Psychiatry. 2022."
"Internet Gaming Disorder as a formative construct: Implications for conceptualization and measurement.","van Rooij AJ, et al.","Psychiatry Clin Neurosci. 2017."
"Risk and protective factors of Internet gaming disorder among Chinese people: A meta-analysis.","Ji Y, et al.","Aust N Z J Psychiatry. 2022."
"Video game disorder and mental wellbeing among university students: a cross-sectional study.","Raouf SYA, et al.","Pan Afr Med J. 2022."
"Independent component analysis for internet gaming disorder.","Mestre-Bach G, et al.","Dialogues Clin Neurosci. 2023."
"Effectiveness of multimodal psychotherapeutic intervention for internet gaming disorder.","Sharma MK, et al.","Psychiatry Res. 2022."
"Reward-related decision-making deficits in internet gaming disorder: a systematic review and meta-analysis.","Yao YW, et al.","Addiction. 2022."
"Internet Gaming Disorder and Aggression among Students on School Closure during COVID-19 Pandemic.","Joshi A, et al.","J Nepal Health Res Counc. 2022."
"Internet gaming disorder should qualify as a mental disorder.","King DL, et al.","Aust N Z J Psychiatry. 2018."
"A network analysis of internet gaming disorder symptoms.","Liu D, et al.","Psychiatry Res. 2022."
"The Effects of Smartphone and Internet Gaming Addiction on Eating Attitudes Among University Students.","Örnek BY, et al.","Psychiatry Investig. 2022."
"N-acetylcysteine in the Treatment of Internet Gaming Disorder.","Singh A, et al.","Cureus. 2022."
"Playerunknown's Battlegrounds: Yet Another Internet Gaming Addiction.","Al-Qahtani AA, et al.","J Ayub Med Coll Abbottabad. 2020."
"Internet Gaming Disorder in Children and Adolescents with Attention Deficit Hyperactivity Disorder.","Berloffa S, et al.","Children (Basel). 2022."
"New developments in brain research of internet and gaming disorder.","Weinstein A, et al.","Neurosci Biobehav Rev. 2017."
"Preventing Harmful Internet Use-Related Addiction Problems in Europe: A Literature Review and Policy Options.","Lopez-Fernandez O, et al.","Int J Environ Res Public Health. 2020."
"Why and how to include parents in the treatment of adolescents presenting Internet gaming disorder?","Bonnaire C, et al.","J Behav Addict. 2019."
"Potential Correlates of Internet Gaming Disorder Among Indonesian Medical Students: Cross-sectional Study.","Siste K, et al.","J Med Internet Res. 2021."
"Internet gaming disorder and gaming disorder in the context of seeking and not seeking treatment for video-gaming.","Starcevic V, et al.","J Psychiatr Res. 2020."
"Brain stimulation to treat Internet addiction: A commentary.","Trojak B, et al.","Addict Behav. 2017."
"Do Individuals with Internet Gaming Disorder Share Personality Traits with Substance-Dependent Individuals?","Giustiniani J, et al.","Int J Environ Res Public Health. 2022."
"Current Status of Internet Gaming Disorder (IGD) in Japan: New Lifestyle-Related Disease in Children and Adolescents.","Imataka G, et al.","J Clin Med. 2022."
"A systematic review of the impact of COVID-19 on the game addiction of children and adolescents.","Han TS, et al.","Front Psychiatry. 2022."
"Internet gaming disorder behaviours: a preliminary exploration of individualism and collectivism profiles.","Stavropoulos V, et al.","BMC Psychiatry. 2021."
"Similarities and differences between internet gaming disorder and tobacco use disorder: A large-scale network study.","Zheng YB, et al.","Addict Biol. 2022."
"Internet gaming disorder: Feeling the flow of social games.","Hu E, et al.","Addict Behav Rep. 2018."
"Emerging insights on internet gaming disorder: Conceptual and measurement issues.","Pontes HM, et al.","Addict Behav Rep. 2019."
"A Multi-Analysis of Children and Adolescents' Video Gaming Addiction with the AHP and TOPSIS Methods.","Khorsandi A, et al.","Int J Environ Res Public Health. 2022."
"A meta-analytic review of Internet gaming disorder and the Big Five personality factors.","Chew PKH.","Addict Behav. 2022."
"Tolerance in Internet gaming disorder: A need for increasing gaming time or something else?","King DL, et al.","J Behav Addict. 2017."
"Gaming addiction, problematic gaming and engaged gaming - Prevalence and associated characteristics.","André F, et al.","Addict Behav Rep. 2020."
"Relation between internet gaming addiction and comorbid psychiatric disorders and emotion avoidance among adolescents: A cross-sectional study.","Ahmed GK, et al.","Psychiatry Res. 2022."
"Editorial: Problematic Gaming, Personality, and Psychiatric Disorders.","Starcevic V, et al.","Front Psychiatry. 2020."
"Internet Gaming Disorder In Students Of Peshawar: A Cross Sectional Survey.","Salam Z, et al.","J Ayub Med Coll Abbottabad. 2019."
"Social Bullying Among Undergraduates: The Roles of Internet Gaming Disorder, Risk-Taking Behavior, and Internet Addiction.","Nwanosike CL, et al.","Front Psychol. 2022."
"Smartphone addiction is more harmful to adolescents than Internet gaming disorder: Divergence in the impact of parenting styles.","Li ZK, et al.","Front Psychol. 2022."
"Internet Gaming Disorder: Investigating the Clinical Relevance of a New Phenomenon.","Przybylski AK, et al.","Am J Psychiatry. 2017."
"Altered Reward Processing System in Internet Gaming Disorder.","Raiha S, et al.","Front Psychiatry. 2020."
"Connectome-based prediction of craving for gaming in internet gaming disorder.","Zhou WR, et al.","Addict Biol. 2022."
"Managing Problematic Usage of the Internet and Related Disorders in an Era of Diagnostic Transition: An Updated Review.","Dell'Osso B, et al.","Clin Pract Epidemiol Ment Health. 2021."
"The Cognitive Psychopathology of Internet Gaming Disorder in Adolescence.","King DL, et al.","J Abnorm Child Psychol. 2016."
"Internet gaming disorder: Inadequate diagnostic criteria wrapped in a constraining conceptual model.","Starcevic V.","J Behav Addict. 2017."
"The Spanish Version of the Video Game Functional Assessment-Revised.","Sprong ME, et al.","Cyberpsychol Behav Soc Netw. 2022."
"The Current Status of Psychological Intervention Research for Internet Addiction and Internet Gaming Disorder.","Kim S, et al.","Issues Ment Health Nurs. 2019."
"Effect of Parental Perception on the Prevalence of Adolescent Internet Gaming Disorder During the COVID-19 Pandemic.","Lee S, et al.","Psychiatry Investig. 2022."
"Gaming disorder: what doctors need to know.","George S, et al.","Br J Hosp Med (Lond). 2020."
"Problematic Internet use and Internet gaming disorder: Overlap and relationship with health-related quality of life in adolescents.","Machimbarrena JM, et al.","Adicciones. 2022."
"Differential resting-state neurophysiological activity associated with game usage patterns and genres in Internet gaming disorder.","Hong DH, et al.","Addict Biol. 2022."
"Dissociative Absorption May Contribute to Internet Gaming Disorder Independent of Childhood Trauma and ADHD Symptoms Among Male University Students.","Kandeğer A, et al.","Eurasian J Med. 2022."
"Mischievous responding in Internet Gaming Disorder research.","Przybylski AK.","PeerJ. 2016."
"Altered Heart Rate Variability During Gaming in Internet Gaming Disorder.","Lee D, et al.","Cyberpsychol Behav Soc Netw. 2018."
"Prevalence of Internet Gaming Disorder among Saudi Arabian university students: relationship with psychological distress.","Khrad H, et al.","Heliyon. 2022."
"Evaluation of Internet Gaming Disorder, Social Media Addiction, and Levels of Loneliness in Adolescents and Youth with Substance Use.","Turhan Gürbüz P, et al.","Subst Use Misuse. 2021."
"Internet Gaming Disorder and Well-Being: A Scale Validation.","Sarda E, et al.","Cyberpsychol Behav Soc Netw. 2016."
"Patterns and Predictors of Internet Gaming Disorder: An Observational Study from Jordan.","Karasneh R, et al.","Clin Pract Epidemiol Ment Health. 2021."
"Dissociative Experiences Associated With Internet Gaming Disorder After Controlling For Childhood Trauma And ADHD Diagnosis.","Kandeğer A, et al.","J Trauma Dissociation. 2022."
"A cognitive-behavioral model of Internet gaming disorder: theoretical underpinnings and clinical implications.","Dong G, et al.","J Psychiatr Res. 2014."
"Validation of the Ten-Item Internet Gaming Disorder Test (IGDT-10) based on the clinical diagnosis of IGD in Japan.","Mihara S, et al.","J Behav Addict. 2022."
"Identifying individuals in need of help for their uncontrolled gaming: A narrative review of concerns and comments regarding gaming disorder diagnostic criteria.","Ko CH, et al.","J Behav Addict. 2020."
"Relationship of Internet gaming disorder with dissociative experience in Italian university students.","De Pasquale C, et al.","Ann Gen Psychiatry. 2018."
"Online gaming addiction in youth: Some comments on Rosendo-Rios et al. (2022).","Griffiths MD.","Addict Behav. 2022."
"Diagnostic Contribution of the DSM-5 Criteria for Internet Gaming Disorder.","Luo T, et al.","Front Psychiatry. 2022."
"Questions, challenges and perspectives relating to Internet gaming disorder.","Mueller KW.","Acta Paediatr. 2018."
"Internet Gaming Disorder: Exploring Its Impact on Satisfaction in Life in PELLEAS Adolescent Sample.","Phan O, et al.","Int J Environ Res Public Health. 2019."
"Internet gaming disorder in adolescence: Psychological characteristics of a clinical sample.","Torres-Rodríguez A, et al.","J Behav Addict. 2018."
"Digital Traces of Behaviour Within Addiction: Response to Griffiths (2017).","Ellis DA, et al.","Int J Ment Health Addict. 2018."
"Internet gaming disorder in an adolescent during the COVID-19 pandemic: a case report.","Rahmawati NA, et al.","Pan Afr Med J. 2022."
"Correlational study between online friendship network and internet game disorder among university students.","Son SM, et al.","Brain Behav. 2021."
"Considering gender differences in the study and treatment of internet gaming disorder.","Dong GH, et al.","J Psychiatr Res. 2022."
"Behavioral modification decreases approach bias in young adults with internet gaming disorder.","He J, et al.","Addict Behav. 2021."
"Addressing internet gaming disorder in children and adolescents.","Gallegos C, et al.","Nursing. 2021."
"Prefrontal cortical activation in Internet Gaming Disorder Scale high scorers during actual real-time internet gaming: A preliminary study using fNIRS.","Cho TH, et al.","J Behav Addict. 2022."
"Internet gaming disorder, exercise and attention deficit hyperactivity disorder: The role of symptoms of depression, anxiety and stress.","Masklavanou C, et al.","Psychiatriki. 2022."
"Evaluating an Internet Gaming Disorder Scale Using Mokken Scaling Analysis.","Finserås TR, et al.","Front Psychol. 2019."
"Youth Gaming Addiction: Implications for School Nurses.","Johnson JL, et al.","NASN Sch Nurse. 2020."
"Anxiety, Depression, and Stress Are Associated With Internet Gaming Disorder During COVID-19: Fear of Missing Out as a Mediator.","Wang Y, et al.","Front Psychiatry. 2022."
"Imbalanced sensitivities to primary and secondary rewards in internet gaming disorder.","Zhou WR, et al.","J Behav Addict. 2021."
"Predatory monetization schemes in video games (e.g. 'loot boxes') and internet gaming disorder.","King DL, et al.","Addiction. 2018."
"Association of Internet gaming disorder with catechol-O-methyltransferase: Role of impulsivity and fun-seeking.","Yen JY, et al.","Kaohsiung J Med Sci. 2022."
"An international consensus for assessing internet gaming disorder using the new DSM-5 approach.","Petry NM, et al.","Addiction. 2014."
"Gaming Device Usage Patterns Predict Internet Gaming Disorder: Comparison across Different Gaming Device Usage Patterns.","Paik SH, et al.","Int J Environ Res Public Health. 2017."
"Gaming Increases Craving to Gaming-Related Stimuli in Individuals With Internet Gaming Disorder.","Dong G, et al.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2017."
"Stigma and gaming disorder: should we take a 'glass half full' or 'glass half empty' perspective?","Pontes HM, et al.","Addiction. 2022."
"The role of internet gaming in the association between anxiety and depression: A preliminary cross-sectional study.","Stavropoulos V, et al.","Asia Pac Psychiatry. 2022."
"The relationship between perceptions of school climate and internet gaming disorder of teenage students: A moderated mediation model.","Zhang M, et al.","Front Psychol. 2022."
"Need Frustration, Gaming Motives, and Internet Gaming Disorder in Mobile Multiplayer Online Battle Arena (MOBA) Games: Through the Lens of Self-Determination Theory.","T'ng ST, et al.","Int J Ment Health Addict. 2022."
"Clinical validation of the C-VAT 2.0 assessment tool for gaming disorder: A sensitivity analysis of the proposed DSM-5 criteria and the clinical characteristics of young patients with 'video game addiction'.","van Rooij AJ, et al.","Addict Behav. 2017."
"Internet addiction and problematic Internet use: A systematic review of clinical research.","Kuss DJ, et al.","World J Psychiatry. 2016."
"Reliability and Validity of the Behavioral Addiction Measure for Video Gaming.","Sanders JL, et al.","Cyberpsychol Behav Soc Netw. 2016."
"Increase of orexin A in the peripheral blood of adolescents with Internet gaming disorder.","Choi MR, et al.","J Behav Addict. 2020."
"Prevalence and risk factors for internet gaming disorder.","Severo RB, et al.","Braz J Psychiatry. 2020."
"Spending Money in Free-to-Play Games: Sociodemographic Characteristics, Motives, Impulsivity and Internet Gaming Disorder Specificities.","Costes JM, et al.","Int J Environ Res Public Health. 2022."
"The concept of ""harm"" in Internet gaming disorder.","King DL, et al.","J Behav Addict. 2018."
"Efficacy of cognitive behavioural therapy for internet gaming disorder.","Han J, et al.","Clin Psychol Psychother. 2020."
"Father-Child Longitudinal Relationship: Parental Monitoring and Internet Gaming Disorder in Chinese Adolescents.","Su B, et al.","Front Psychol. 2018."
"Self-control impacts symptoms defining Internet gaming disorder through dorsal anterior cingulate-ventral striatal pathway.","Gong L, et al.","Addict Biol. 2022."
"[The Internet Gaming Disorder in the DSM-5].","Xavier C.","Adicciones. 2014."
"Relationship of Internet Gaming Disorder with Psychopathology and Social Adaptation in Italian Young Adults.","De Pasquale C, et al.","Int J Environ Res Public Health. 2020."
"Predictors of gaming disorder in children and adolescents: a school-based study.","Ferreira FM, et al.","Braz J Psychiatry. 2021."
"The prevalence of problematic internet use among a sample of Egyptian adolescents and its psychiatric comorbidities.","Khalil SA, et al.","Int J Soc Psychiatry. 2022."
"Problematic gaming exists and is an example of disordered gaming.","Griffiths MD, et al.","J Behav Addict. 2017."
"Gaming addiction and perceived stress among Saudi adolescents.","Rajab AM, et al.","Addict Behav Rep. 2020."
"Association between Internet gaming disorder and generalized anxiety disorder.","Wang CY, et al.","J Behav Addict. 2017."
"Internet Gaming Disorder profiles and their associations with social engagement behaviours.","Tullett-Prado D, et al.","J Psychiatr Res. 2021."
"Merging Theoretical Models and Therapy Approaches in the Context of Internet Gaming Disorder: A Personal Perspective.","Young KS, et al.","Front Psychol. 2017."
"Symptoms of internet gaming disorder among male college students in Nanchong, China.","Liu F, et al.","BMC Psychiatry. 2022."
"Problem Gaming: A Short Primer.","Gorman TE, et al.","Am J Play. 2018."
"Internet gaming disorder in Lebanon: Relationships with age, sleep habits, and academic achievement.","Hawi NS, et al.","J Behav Addict. 2018."
"Prevalence and risk factors of internet gaming disorder and problematic internet use before and during the COVID-19 pandemic: A large online survey of Japanese adults.","Oka T, et al.","J Psychiatr Res. 2021."
"Cyberbullying and internet gaming disorder in Chinese youth: The role of positive youth development attributes.","Xiang GX, et al.","Front Public Health. 2022."
"Risk factors and outcomes of internet gaming disorder identified in Korean prospective adolescent cohort study.","Byeon G, et al.","J Behav Addict. 2022."
"Metacognitions and emotion recognition in Internet Gaming Disorder among adolescents.","Aydın O, et al.","Addict Behav Rep. 2020."
"Relationships of Internet addiction and Internet gaming disorder symptom severities with probable attention deficit/hyperactivity disorder, aggression and negative affect among university students.","Evren C, et al.","Atten Defic Hyperact Disord. 2019."
"Contextualising video game engagement and addiction in mental health: the mediating roles of coping and social support.","Moge CE, et al.","Heliyon. 2020."
"Gaming in China Before the COVID-19 Pandemic and After the Lifting of Lockdowns: a Nationwide Online Retrospective Survey.","Wu Q, et al.","Int J Ment Health Addict. 2022."
"Internet gaming disorder and its relationship with behavioral disorder and mother's parenting styles in primary school students according to gender in Iran.","Areshtanab HN, et al.","BMC Psychol. 2021."
"Metacognition, Desire Thinking and Craving in Problematic Video Game Use.","Bonner J, et al.","J Technol Behav Sci. 2022."
"Relationship Between Illness Representations and Symptoms of Internet Gaming Disorder Among Young People: Cross-Lagged Model.","Yang X, et al.","JMIR Serious Games. 2021."
"Video game addiction in emerging adulthood: Cross-sectional evidence of pathology in video game addicts as compared to matched healthy controls.","Stockdale L, et al.","J Affect Disord. 2018."
"Relationship between problematic gaming and age at the onset of habitual gaming.","Nakayama H, et al.","Pediatr Int. 2020."
"In search of the optimum structural model for Internet Gaming Disorder.","Stavropoulos V, et al.","BMC Psychiatry. 2021."
"Policy, prevention, and regulation for Internet Gaming Disorder.","Kuss DJ.","J Behav Addict. 2018."
"Psychometric Validation of the Internet Gaming Disorder-20 Test among Ecuadorian Teenagers and Young People.","Andrade LI, et al.","Int J Environ Res Public Health. 2022."
"Gaming Disorder and Well-Being Among Emirati College Women.","Verlinden M, et al.","Front Psychiatry. 2021."
"Functional and structural neural alterations in Internet gaming disorder: A systematic review and meta-analysis.","Yao YW, et al.","Neurosci Biobehav Rev. 2017."
"Validation of the Internet Gaming Disorder Scale - Short-Form (IGDS9-SF) in an Italian-speaking sample.","Monacis L, et al.","J Behav Addict. 2016."
"Brain connectivity and psychiatric comorbidity in adolescents with Internet gaming disorder.","Han DH, et al.","Addict Biol. 2017."
"Prevalence of Internet Gaming Disorder among Korean Adolescents and Associations with Non-psychotic Psychological Symptoms, and Physical Aggression.","Yu H, et al.","Am J Health Behav. 2016."
"Utility of DSM-5 Criteria for Internet Gaming Disorder.","Carlisle K.","Psychol Rep. 2021."
"Brain Activity toward Gaming-Related Cues in Internet Gaming Disorder during an Addiction Stroop Task.","Zhang Y, et al.","Front Psychol. 2016."
"Psychometric properties of the Chinese Internet Gaming Disorder Scale.","Sigerson L, et al.","Addict Behav. 2017."
"The psychometric properties of the Chinese version internet gaming disorder scale.","Lei W, et al.","Addict Behav. 2020."
"Cue-induced Behavioral and Neural Changes among Excessive Internet Gamers and Possible Application of Cue Exposure Therapy to Internet Gaming Disorder.","Zhang Y, et al.","Front Psychol. 2016."
"Network analyses of internet gaming disorder symptoms and their links with different types of motivation.","Gomez R, et al.","BMC Psychiatry. 2022."
"Need fulfilment and internet gaming disorder: A preliminary integrative model.","Scerri M, et al.","Addict Behav Rep. 2018."
"Relationship between the experience of online game genre and high risk of Internet gaming disorder in Korean adolescents.","Han H, et al.","Epidemiol Health. 2020."
"Internet Gaming Disorder among Adolescents.","Chandradasa M, et al.","Indian J Pediatr. 2017."
"Gaming and Gaming Disorder: A Mediation Model Gender, Salience, Age of Gaming Onset, and Time Spent Gaming.","Buono FD, et al.","Cyberpsychol Behav Soc Netw. 2020."
"Validation of the Arabic Version of the Internet Gaming Disorder-20 Test.","Hawi NS, et al.","Cyberpsychol Behav Soc Netw. 2017."
"Making the case for hypothesis-driven theory testing in the study of Internet Gaming Disorder.","Kardefelt-Winther D.","Addict Behav. 2017."
"Internet gaming disorder and psychosocial well-being: A longitudinal study of older-aged adolescents and emerging adults.","Teng Z, et al.","Addict Behav. 2020."
"The Treatment of Internet Gaming Disorder: a Brief Overview of the PIPATIC Program.","Torres-Rodríguez A, et al.","Int J Ment Health Addict. 2018."
"Parenting paused: Pathological video game use and parenting outcomes.","Stockdale L, et al.","Addict Behav Rep. 2019."
"Features shared between fear of missing out on rewarding experiences (FOMO) and internet gaming disorder.","Freire RC, et al.","Braz J Psychiatry. 2021."
"Response Inhibition and Internet Gaming Disorder: A Meta-analysis.","Argyriou E, et al.","Addict Behav. 2017."
"Editorial: Internet Gaming Disorder: A Pathway Towards Assessment Consensus.","Stavropoulos V, et al.","Front Psychol. 2019."
"The relative contribution of motives and maladaptive cognitions to levels of Internet Gaming Disorder.","Moudiab S, et al.","Addict Behav Rep. 2019."
"How sleep disturbances affect internet gaming disorder: The mediating effect of hippocampal functional connectivity.","Zheng H, et al.","J Affect Disord. 2022."
"Subgroups of internet gaming disorder based on addiction-related resting-state functional connectivity.","Wang ZL, et al.","Addiction. 2023."
"Excessive Smartphone Use and Self-Esteem Among Adults With Internet Gaming Disorder: Quantitative Survey Study.","Kim H, et al.","JMIR Mhealth Uhealth. 2020."
"Disordered gaming, loneliness, and family harmony in gamers before and during the COVID-19 pandemic.","Rozgonjuk D, et al.","Addict Behav Rep. 2022."
"Corrigendum: Differential effects of anxiety on internet gaming disorder: A large-scale cross-sectional survey.","Huang X, et al.","Front Psychiatry. 2022."
"Exploring subtypes and correlates of internet gaming disorder severity among adolescents during COVID-19 in China: A latent class analysis.","Chang CI, et al.","Curr Psychol. 2022."
"Video game characteristics, happiness and flow as predictors of addiction among video game players: A pilot study.","Hull DC, et al.","J Behav Addict. 2013."
"Relationship between Internet Gaming Disorder with Depressive Syndrome and Dopamine Transporter Condition in Online Games Player.","Ariatama B, et al.","Open Access Maced J Med Sci. 2019."
"Lack of educational impact of video game addiction in children and adolescents diagnosed with ADHD: A cross-sectional study.","Blasco-Fontecilla H, et al.","Front Psychiatry. 2023."
"Spanish Validation of the Internet Gaming Disorder Scale-Short Form (IGDS9-SF): Prevalence and Relationship with Online Gambling and Quality of Life.","Beranuy M, et al.","Int J Environ Res Public Health. 2020."
"Gender-related differences in cue-elicited cravings in Internet gaming disorder: The effects of deprivation.","Dong G, et al.","J Behav Addict. 2018."
"Risk and protective factors for (internet) gaming disorder: A meta-analysis of pre-COVID studies.","Ropovik I, et al.","Addict Behav. 2023."
"Psychometric Properties of the Nine-Item Korean Internet Gaming Disorder Scale: Short Form.","Kim BN, et al.","Cyberpsychol Behav Soc Netw. 2020."
"Prevalence of Internet Gaming Disorder Among Intermediate and High School Students in Albaha, Saudi Arabia: A Cross-Sectional Study.","Alghamdi MH, et al.","Cureus. 2023."
"Brain functional connectivity during and after imagery of gaming and alternative leisure activities in patients with internet gaming disorder.","Kim SJ, et al.","Neurosci Lett. 2022."
"A selective involvement of putamen functional connectivity in youth with internet gaming disorder.","Hong SB, et al.","Brain Res. 2015."
"Gamification for Internet Gaming Disorder Prevention: Evaluation of a Wise IT-Use (WIT) Program for Hong Kong Primary Students.","Chau CL, et al.","Front Psychol. 2019."
"Altered Heart Rate Variability During Gameplay in Internet Gaming Disorder: The Impact of Situations During the Game.","Hong SJ, et al.","Front Psychiatry. 2018."
"[French validation of a scale evaluating Internet Gaming Disorder: the Internet Gaming Disorder-20].","Plessis C, et al.","Can J Psychiatry. 2021."
"A Case of Internet Gaming Disorder: When #Play Apart Together Takes a Dark Turn.","O'Loughlin J, et al.","J Community Hosp Intern Med Perspect. 2022."
"Alterations in the connection topology of brain structural networks in Internet gaming addiction.","Park CH, et al.","Sci Rep. 2018."
"Internet Gaming Disorder in Adolescents: Personality, Psychopathology and Evaluation of a Psychological Intervention Combined With Parent Psychoeducation.","González-Bueso V, et al.","Front Psychol. 2018."
"The association between Emotional Regulation and Internet Gaming Disorder.","Lin PY, et al.","Psychiatry Res. 2020."
"Validity, functional impairment and complications related to Internet gaming disorder in the DSM-5 and gaming disorder in the ICD-11.","Ko CH, et al.","Aust N Z J Psychiatry. 2020."
"Reduced frontostriatal functional connectivity and associations with severity of Internet gaming disorder.","Dong H, et al.","Addict Biol. 2021."
