"Title","Author_Info","Journal_Year_Info"
"Electrophysiological evidence of enhanced early attentional bias toward sexual images in individuals with tendencies toward cybersex addiction.","Wang J, et al.","J Behav Addict. 2021."
"Impact of COVID-19 on adolescent sexual life and attitudes: have we considered all the possible secondary effects of the pandemic?","Kostopoulou E.","Eur J Pediatr. 2023."
"Contribution of pornographic exposure and addiction to risky sexual behavior in adolescents.","Yunengsih W, et al.","J Public Health Res. 2021."
"The impact of asexual trait and porn addiction in a young men healthy cohort.","Russo GI, et al.","Andrologia. 2021."
"Does the addiction in online pornography affect the behavioral pattern of undergrad private university students in Bangladesh?","Chowdhury MRHK, et al.","Int J Health Sci (Qassim). 2018."
"Is Pornography Use Associated with Sexual Difficulties and Dysfunctions among Younger Heterosexual Men?","Landripet I, et al.","J Sex Med. 2015."
"Web-Based Relationship Education and Pornography-Related Behaviors: A Single-Group Design During the COVID-19 Pandemic.","Hatch SG, et al.","Arch Sex Behav. 2023."
"Prevalence, Patterns and Self-Perceived Effects of Pornography Consumption in Polish University Students: A Cross-Sectional Study.","Dwulit AD, et al.","Int J Environ Res Public Health. 2019."
"Facets of impulsivity and related aspects differentiate among recreational and unregulated use of Internet pornography.","Antons S, et al.","J Behav Addict. 2019."
"Event-related potentials in a two-choice oddball task of impaired behavioral inhibitory control among males with tendencies towards cybersex addiction.","Wang J, et al.","J Behav Addict. 2020."
"Sexual addiction 25 years on: A systematic and methodological review of empirical literature and an agenda for future research.","Grubbs JB, et al.","Clin Psychol Rev. 2020."
"Sexual Excitability and Dysfunctional Coping Determine Cybersex Addiction in Homosexual Males.","Laier C, et al.","Cyberpsychol Behav Soc Netw. 2015."
"Pornography addiction - a supranormal stimulus considered in the context of neuroplasticity.","Hilton DL Jr.","Socioaffect Neurosci Psychol. 2013."
"A case report of pornography addiction with dhat syndrome.","Darshan MS, et al.","Indian J Psychiatry. 2014."
"Nalmefene in the Treatment of Internet Pornography Addiction - A Case Report and Review of Literature.","Yazdi K, et al.","J Addict Med. 2020."
"Pornography addiction: A neuroscience perspective.","Hilton DL, et al.","Surg Neurol Int. 2011."
"The association between type of trauma, level of exposure and addiction.","Levin Y, et al.","Addict Behav. 2021."
"Variability of Pornographic Content Consumed and Longest Session of Pornography Use Associated With Treatment Seeking and Problematic Sexual Behavior Symptoms.","Lewczuk K, et al.","Sex Med. 2021."
"Ventral striatum activity when watching preferred pornographic pictures is correlated with symptoms of Internet pornography addiction.","Brand M, et al.","Neuroimage. 2016."
"Electroencephalogram (EEG) dataset with porn addiction and healthy teenagers under rest and executive function task.","Kang X, et al.","Data Brief. 2021."
"Assisting a concerned person to motivate someone experiencing cybersex into treatment: application of invitational intervention: the arise model to cybersex.","Landau J, et al.","J Marital Fam Ther. 2008."
"Naltrexone for the treatment of comorbid tobacco and pornography addiction.","Capurso NA.","Am J Addict. 2017."
"Markers of Prenatal Androgen Exposure Correlate With Online Sexual Compulsivity and Erectile Function in Young Men.","Buchholz VN, et al.","Front Psychiatry. 2021."
"Technology Addiction among Treatment Seekers for Psychological Problems: Implication for Screening in Mental Health Setting.","Das A, et al.","Indian J Psychol Med. 2017."
"Modulation of late positive potentials by sexual images in problem users and controls inconsistent with ""porn addiction"".","Prause N, et al.","Biol Psychol. 2015."
"A pilot study of mindfulness-based relapse prevention for compulsive sexual behaviour disorder.","Holas P, et al.","J Behav Addict. 2020."
"Technology-mediated addictive behaviors constitute a spectrum of related yet distinct conditions: A network perspective.","Baggio S, et al.","Psychol Addict Behav. 2018."
"Commentary on Lewczuk et al : Moral incongruence, disapproval and behavioral 'addiction'.","Grubbs JB.","Addiction. 2021."
"Associations between the dark triad of personality and unspecified/specific forms of Internet-use disorder.","Sindermann C, et al.","J Behav Addict. 2018."
"""Technology-mediated addictive behaviors constitute a spectrum of related yet distinct conditions: A network perspective"": Correction to Baggio et al. (2018).","[No authors listed]","Psychol Addict Behav. 2018."
"Watching pornographic pictures on the Internet: role of sexual arousal ratings and psychological-psychiatric symptoms for using Internet sex sites excessively.","Brand M, et al.","Cyberpsychol Behav Soc Netw. 2011."
"Hands-off: Feasibility and preliminary results of a two-armed randomized controlled trial of a web-based self-help tool to reduce problematic pornography use.","Bőthe B, et al.","J Behav Addict. 2021."
"A study on smoking and associated psychosocial factors among adolescent students in Kolkata, India.","Bagchi NN, et al.","Indian J Public Health. 2014."
"Which conditions should be considered as disorders in the International Classification of Diseases (ICD-11) designation of ""other specified disorders due to addictive behaviors""?","Brand M, et al.","J Behav Addict. 2020."
"Doctor is suspended for prescribing a drug for pornography ""addiction"" without giving the risks.","Dyer C.","BMJ. 2011."
"The Relationship Between Sexual Compulsivity, Emotional and Spiritual Distress of Religious and Non-religious Internet Pornography Users.","Hotchkiss JT.","J Relig Health. 2021."
