"Title","Author_Info","Journal","Year","Label"
"Problematic Internet use and Internet gaming disorder: Overlap and relationship with health-related quality of life in adolescents.","Machimbarrena JM, et al.","Adicciones",2022,"gaming"
"Differential resting-state neurophysiological activity associated with game usage patterns and genres in Internet gaming disorder.","Hong DH, et al.","Addict Biol",2022,"gaming"
"Dissociative Absorption May Contribute to Internet Gaming Disorder Independent of Childhood Trauma and ADHD Symptoms Among Male University Students.","Kandeğer A, et al.","Eurasian J Med",2022,"gaming"
"Mischievous responding in Internet Gaming Disorder research.","Przybylski AK.","PeerJ",2016,"gaming"
"Altered Heart Rate Variability During Gaming in Internet Gaming Disorder.","Lee D, et al.","Cyberpsychol Behav Soc Netw",2018,"gaming"
"Prevalence of Internet Gaming Disorder among Saudi Arabian university students: relationship with psychological distress.","Khrad H, et al.","Heliyon",2022,"gaming"
"Evaluation of Internet Gaming Disorder, Social Media Addiction, and Levels of Loneliness in Adolescents and Youth with Substance Use.","Turhan Gürbüz P, et al.","Subst Use Misuse",2021,"gaming"
"Internet Gaming Disorder and Well-Being: A Scale Validation.","Sarda E, et al.","Cyberpsychol Behav Soc Netw",2016,"gaming"
"Patterns and Predictors of Internet Gaming Disorder: An Observational Study from Jordan.","Karasneh R, et al.","Clin Pract Epidemiol Ment Health",2021,"gaming"
"Dissociative Experiences Associated With Internet Gaming Disorder After Controlling For Childhood Trauma And ADHD Diagnosis.","Kandeğer A, et al.","J Trauma Dissociation",2022,"gaming"
"A cognitive-behavioral model of Internet gaming disorder: theoretical underpinnings and clinical implications.","Dong G, et al.","J Psychiatr Res",2014,"gaming"
"Validation of the Ten-Item Internet Gaming Disorder Test (IGDT-10) based on the clinical diagnosis of IGD in Japan.","Mihara S, et al.","J Behav Addict",2022,"gaming"
"Identifying individuals in need of help for their uncontrolled gaming: A narrative review of concerns and comments regarding gaming disorder diagnostic criteria.","Ko CH, et al.","J Behav Addict",2020,"gaming"
"Relationship of Internet gaming disorder with dissociative experience in Italian university students.","De Pasquale C, et al.","Ann Gen Psychiatry",2018,"gaming"
"Online gaming addiction in youth: Some comments on Rosendo-Rios et al. (2022).","Griffiths MD.","Addict Behav",2022,"gaming"
"Diagnostic Contribution of the DSM-5 Criteria for Internet Gaming Disorder.","Luo T, et al.","Front Psychiatry",2022,"gaming"
"Questions, challenges and perspectives relating to Internet gaming disorder.","Mueller KW.","Acta Paediatr",2018,"gaming"
"Internet Gaming Disorder: Exploring Its Impact on Satisfaction in Life in PELLEAS Adolescent Sample.","Phan O, et al.","Int J Environ Res Public Health",2019,"gaming"
"Internet gaming disorder in adolescence: Psychological characteristics of a clinical sample.","Torres-Rodríguez A, et al.","J Behav Addict",2018,"gaming"
"Digital Traces of Behaviour Within Addiction: Response to Griffiths (2017).","Ellis DA, et al.","Int J Ment Health Addict",2018,"gaming"
"Internet gaming disorder in an adolescent during the COVID-19 pandemic: a case report.","Rahmawati NA, et al.","Pan Afr Med J",2022,"gaming"
"Correlational study between online friendship network and internet game disorder among university students.","Son SM, et al.","Brain Behav",2021,"gaming"
"Considering gender differences in the study and treatment of internet gaming disorder.","Dong GH, et al.","J Psychiatr Res",2022,"gaming"
"Behavioral modification decreases approach bias in young adults with internet gaming disorder.","He J, et al.","Addict Behav",2021,"gaming"
"Addressing internet gaming disorder in children and adolescents.","Gallegos C, et al.","Nursing",2021,"gaming"
"Prefrontal cortical activation in Internet Gaming Disorder Scale high scorers during actual real-time internet gaming: A preliminary study using fNIRS.","Cho TH, et al.","J Behav Addict",2022,"gaming"
"Internet gaming disorder, exercise and attention deficit hyperactivity disorder: The role of symptoms of depression, anxiety and stress.","Masklavanou C, et al.","Psychiatriki",2022,"gaming"
"Evaluating an Internet Gaming Disorder Scale Using Mokken Scaling Analysis.","Finserås TR, et al.","Front Psychol",2019,"gaming"
"Youth Gaming Addiction: Implications for School Nurses.","Johnson JL, et al.","NASN Sch Nurse",2020,"gaming"
"Anxiety, Depression, and Stress Are Associated With Internet Gaming Disorder During COVID-19: Fear of Missing Out as a Mediator.","Wang Y, et al.","Front Psychiatry",2022,"gaming"
"Imbalanced sensitivities to primary and secondary rewards in internet gaming disorder.","Zhou WR, et al.","J Behav Addict",2021,"gaming"
"Predatory monetization schemes in video games (e.g. 'loot boxes') and internet gaming disorder.","King DL, et al.","Addiction",2018,"gaming"
"Association of Internet gaming disorder with catechol-O-methyltransferase: Role of impulsivity and fun-seeking.","Yen JY, et al.","Kaohsiung J Med Sci",2022,"gaming"
"An international consensus for assessing internet gaming disorder using the new DSM-5 approach.","Petry NM, et al.","Addiction",2014,"gaming"
"Gaming Device Usage Patterns Predict Internet Gaming Disorder: Comparison across Different Gaming Device Usage Patterns.","Paik SH, et al.","Int J Environ Res Public Health",2017,"gaming"
"Gaming Increases Craving to Gaming-Related Stimuli in Individuals With Internet Gaming Disorder.","Dong G, et al.","Biol Psychiatry Cogn Neurosci Neuroimaging",2017,"gaming"
"Stigma and gaming disorder: should we take a 'glass half full' or 'glass half empty' perspective?","Pontes HM, et al.","Addiction",2022,"gaming"
"The role of internet gaming in the association between anxiety and depression: A preliminary cross-sectional study.","Stavropoulos V, et al.","Asia Pac Psychiatry",2022,"gaming"
"The relationship between perceptions of school climate and internet gaming disorder of teenage students: A moderated mediation model.","Zhang M, et al.","Front Psychol",2022,"gaming"
"Need Frustration, Gaming Motives, and Internet Gaming Disorder in Mobile Multiplayer Online Battle Arena (MOBA) Games: Through the Lens of Self-Determination Theory.","T'ng ST, et al.","Int J Ment Health Addict",2022,"gaming"
"Clinical validation of the C-VAT 2.0 assessment tool for gaming disorder: A sensitivity analysis of the proposed DSM-5 criteria and the clinical characteristics of young patients with 'video game addiction'.","van Rooij AJ, et al.","Addict Behav",2017,"gaming"
"Internet addiction and problematic Internet use: A systematic review of clinical research.","Kuss DJ, et al.","World J Psychiatry",2016,"gaming"
"Reliability and Validity of the Behavioral Addiction Measure for Video Gaming.","Sanders JL, et al.","Cyberpsychol Behav Soc Netw",2016,"gaming"
"Increase of orexin A in the peripheral blood of adolescents with Internet gaming disorder.","Choi MR, et al.","J Behav Addict",2020,"gaming"
"Prevalence and risk factors for internet gaming disorder.","Severo RB, et al.","Braz J Psychiatry",2020,"gaming"
"Spending Money in Free-to-Play Games: Sociodemographic Characteristics, Motives, Impulsivity and Internet Gaming Disorder Specificities.","Costes JM, et al.","Int J Environ Res Public Health",2022,"gaming"
"The concept of ""harm"" in Internet gaming disorder.","King DL, et al.","J Behav Addict",2018,"gaming"
"Efficacy of cognitive behavioural therapy for internet gaming disorder.","Han J, et al.","Clin Psychol Psychother",2020,"gaming"
"Father-Child Longitudinal Relationship: Parental Monitoring and Internet Gaming Disorder in Chinese Adolescents.","Su B, et al.","Front Psychol",2018,"gaming"
"Self-control impacts symptoms defining Internet gaming disorder through dorsal anterior cingulate-ventral striatal pathway.","Gong L, et al.","Addict Biol",2022,"gaming"
"[The Internet Gaming Disorder in the DSM-5].","Xavier C.","Adicciones",2014,"gaming"
"Relationship of Internet Gaming Disorder with Psychopathology and Social Adaptation in Italian Young Adults.","De Pasquale C, et al.","Int J Environ Res Public Health",2020,"gaming"
"Predictors of gaming disorder in children and adolescents: a school-based study.","Ferreira FM, et al.","Braz J Psychiatry",2021,"gaming"
"The prevalence of problematic internet use among a sample of Egyptian adolescents and its psychiatric comorbidities.","Khalil SA, et al.","Int J Soc Psychiatry",2022,"gaming"
"Problematic gaming exists and is an example of disordered gaming.","Griffiths MD, et al.","J Behav Addict",2017,"gaming"
"Gaming addiction and perceived stress among Saudi adolescents.","Rajab AM, et al.","Addict Behav Rep",2020,"gaming"
"Association between Internet gaming disorder and generalized anxiety disorder.","Wang CY, et al.","J Behav Addict",2017,"gaming"
"Internet Gaming Disorder profiles and their associations with social engagement behaviours.","Tullett-Prado D, et al.","J Psychiatr Res",2021,"gaming"
"Merging Theoretical Models and Therapy Approaches in the Context of Internet Gaming Disorder: A Personal Perspective.","Young KS, et al.","Front Psychol",2017,"gaming"
"Symptoms of internet gaming disorder among male college students in Nanchong, China.","Liu F, et al.","BMC Psychiatry",2022,"gaming"
"Problem Gaming: A Short Primer.","Gorman TE, et al.","Am J Play",2018,"gaming"
"Internet gaming disorder in Lebanon: Relationships with age, sleep habits, and academic achievement.","Hawi NS, et al.","J Behav Addict",2018,"gaming"
"Prevalence and risk factors of internet gaming disorder and problematic internet use before and during the COVID-19 pandemic: A large online survey of Japanese adults.","Oka T, et al.","J Psychiatr Res",2021,"gaming"
"Cyberbullying and internet gaming disorder in Chinese youth: The role of positive youth development attributes.","Xiang GX, et al.","Front Public Health",2022,"gaming"
"Risk factors and outcomes of internet gaming disorder identified in Korean prospective adolescent cohort study.","Byeon G, et al.","J Behav Addict",2022,"gaming"
"Metacognitions and emotion recognition in Internet Gaming Disorder among adolescents.","Aydın O, et al.","Addict Behav Rep",2020,"gaming"
"Relationships of Internet addiction and Internet gaming disorder symptom severities with probable attention deficit/hyperactivity disorder, aggression and negative affect among university students.","Evren C, et al.","Atten Defic Hyperact Disord",2019,"gaming"
"Contextualising video game engagement and addiction in mental health: the mediating roles of coping and social support.","Moge CE, et al.","Heliyon",2020,"gaming"
"Gaming in China Before the COVID-19 Pandemic and After the Lifting of Lockdowns: a Nationwide Online Retrospective Survey.","Wu Q, et al.","Int J Ment Health Addict",2022,"gaming"
"Internet gaming disorder and its relationship with behavioral disorder and mother's parenting styles in primary school students according to gender in Iran.","Areshtanab HN, et al.","BMC Psychol",2021,"gaming"
"Metacognition, Desire Thinking and Craving in Problematic Video Game Use.","Bonner J, et al.","J Technol Behav Sci",2022,"gaming"
"Relationship Between Illness Representations and Symptoms of Internet Gaming Disorder Among Young People: Cross-Lagged Model.","Yang X, et al.","JMIR Serious Games",2021,"gaming"
"Video game addiction in emerging adulthood: Cross-sectional evidence of pathology in video game addicts as compared to matched healthy controls.","Stockdale L, et al.","J Affect Disord",2018,"gaming"
"Relationship between problematic gaming and age at the onset of habitual gaming.","Nakayama H, et al.","Pediatr Int",2020,"gaming"
"In search of the optimum structural model for Internet Gaming Disorder.","Stavropoulos V, et al.","BMC Psychiatry",2021,"gaming"
"Policy, prevention, and regulation for Internet Gaming Disorder.","Kuss DJ.","J Behav Addict",2018,"gaming"
"Psychometric Validation of the Internet Gaming Disorder-20 Test among Ecuadorian Teenagers and Young People.","Andrade LI, et al.","Int J Environ Res Public Health",2022,"gaming"
"Gaming Disorder and Well-Being Among Emirati College Women.","Verlinden M, et al.","Front Psychiatry",2021,"gaming"
"Functional and structural neural alterations in Internet gaming disorder: A systematic review and meta-analysis.","Yao YW, et al.","Neurosci Biobehav Rev",2017,"gaming"
"Validation of the Internet Gaming Disorder Scale - Short-Form (IGDS9-SF) in an Italian-speaking sample.","Monacis L, et al.","J Behav Addict",2016,"gaming"
"Brain connectivity and psychiatric comorbidity in adolescents with Internet gaming disorder.","Han DH, et al.","Addict Biol",2017,"gaming"
"Prevalence of Internet Gaming Disorder among Korean Adolescents and Associations with Non-psychotic Psychological Symptoms, and Physical Aggression.","Yu H, et al.","Am J Health Behav",2016,"gaming"
"Utility of DSM-5 Criteria for Internet Gaming Disorder.","Carlisle K.","Psychol Rep",2021,"gaming"
"Brain Activity toward Gaming-Related Cues in Internet Gaming Disorder during an Addiction Stroop Task.","Zhang Y, et al.","Front Psychol",2016,"gaming"
"Psychometric properties of the Chinese Internet Gaming Disorder Scale.","Sigerson L, et al.","Addict Behav",2017,"gaming"
"The psychometric properties of the Chinese version internet gaming disorder scale.","Lei W, et al.","Addict Behav",2020,"gaming"
"Cue-induced Behavioral and Neural Changes among Excessive Internet Gamers and Possible Application of Cue Exposure Therapy to Internet Gaming Disorder.","Zhang Y, et al.","Front Psychol",2016,"gaming"
"Network analyses of internet gaming disorder symptoms and their links with different types of motivation.","Gomez R, et al.","BMC Psychiatry",2022,"gaming"
"Need fulfilment and internet gaming disorder: A preliminary integrative model.","Scerri M, et al.","Addict Behav Rep",2018,"gaming"
"Relationship between the experience of online game genre and high risk of Internet gaming disorder in Korean adolescents.","Han H, et al.","Epidemiol Health",2020,"gaming"
"Internet Gaming Disorder among Adolescents.","Chandradasa M, et al.","Indian J Pediatr",2017,"gaming"
"Gaming and Gaming Disorder: A Mediation Model Gender, Salience, Age of Gaming Onset, and Time Spent Gaming.","Buono FD, et al.","Cyberpsychol Behav Soc Netw",2020,"gaming"
"Validation of the Arabic Version of the Internet Gaming Disorder-20 Test.","Hawi NS, et al.","Cyberpsychol Behav Soc Netw",2017,"gaming"
"Making the case for hypothesis-driven theory testing in the study of Internet Gaming Disorder.","Kardefelt-Winther D.","Addict Behav",2017,"gaming"
"Internet gaming disorder and psychosocial well-being: A longitudinal study of older-aged adolescents and emerging adults.","Teng Z, et al.","Addict Behav",2020,"gaming"
"The Treatment of Internet Gaming Disorder: a Brief Overview of the PIPATIC Program.","Torres-Rodríguez A, et al.","Int J Ment Health Addict",2018,"gaming"
"Parenting paused: Pathological video game use and parenting outcomes.","Stockdale L, et al.","Addict Behav Rep",2019,"gaming"
"Features shared between fear of missing out on rewarding experiences (FOMO) and internet gaming disorder.","Freire RC, et al.","Braz J Psychiatry",2021,"gaming"
"Response Inhibition and Internet Gaming Disorder: A Meta-analysis.","Argyriou E, et al.","Addict Behav",2017,"gaming"
"Editorial: Internet Gaming Disorder: A Pathway Towards Assessment Consensus.","Stavropoulos V, et al.","Front Psychol",2019,"gaming"
"The relative contribution of motives and maladaptive cognitions to levels of Internet Gaming Disorder.","Moudiab S, et al.","Addict Behav Rep",2019,"gaming"
"How sleep disturbances affect internet gaming disorder: The mediating effect of hippocampal functional connectivity.","Zheng H, et al.","J Affect Disord",2022,"gaming"
"Subgroups of internet gaming disorder based on addiction-related resting-state functional connectivity.","Wang ZL, et al.","Addiction",2023,"gaming"
"Excessive Smartphone Use and Self-Esteem Among Adults With Internet Gaming Disorder: Quantitative Survey Study.","Kim H, et al.","JMIR Mhealth Uhealth",2020,"gaming"
"Disordered gaming, loneliness, and family harmony in gamers before and during the COVID-19 pandemic.","Rozgonjuk D, et al.","Addict Behav Rep",2022,"gaming"
"Corrigendum: Differential effects of anxiety on internet gaming disorder: A large-scale cross-sectional survey.","Huang X, et al.","Front Psychiatry",2022,"gaming"
"Exploring subtypes and correlates of internet gaming disorder severity among adolescents during COVID-19 in China: A latent class analysis.","Chang CI, et al.","Curr Psychol",2022,"gaming"
"Video game characteristics, happiness and flow as predictors of addiction among video game players: A pilot study.","Hull DC, et al.","J Behav Addict",2013,"gaming"
"Relationship between Internet Gaming Disorder with Depressive Syndrome and Dopamine Transporter Condition in Online Games Player.","Ariatama B, et al.","Open Access Maced J Med Sci",2019,"gaming"
"Lack of educational impact of video game addiction in children and adolescents diagnosed with ADHD: A cross-sectional study.","Blasco-Fontecilla H, et al.","Front Psychiatry",2023,"gaming"
"Spanish Validation of the Internet Gaming Disorder Scale-Short Form (IGDS9-SF): Prevalence and Relationship with Online Gambling and Quality of Life.","Beranuy M, et al.","Int J Environ Res Public Health",2020,"gaming"
"Gender-related differences in cue-elicited cravings in Internet gaming disorder: The effects of deprivation.","Dong G, et al.","J Behav Addict",2018,"gaming"
"Risk and protective factors for (internet) gaming disorder: A meta-analysis of pre-COVID studies.","Ropovik I, et al.","Addict Behav",2023,"gaming"
