"Title","Author_Info","Journal_Year_Info"
"Pharmacological Treatments for Disordered Gambling: A Meta-analysis.","Goslar M, et al.","J Gambl Stud. 2019."
"Gambling and substance use: Comorbidity and treatment implications.","Grant JE, et al.","Prog Neuropsychopharmacol Biol Psychiatry. 2020."
"Gambling disorder: an integrative review of animal and human studies.","Nautiyal KM, et al.","Ann N Y Acad Sci. 2017."
"Dopaminergic signaling of uncertainty and the aetiology of gambling addiction.","Zack M, et al.","Prog Neuropsychopharmacol Biol Psychiatry. 2020."
"Ludens: A Gambling Addiction Prevention Program Based on the Principles of Ethical Gambling.","Chóliz M, et al.","J Gambl Stud. 2022."
"Neural and psychological underpinnings of gambling disorder: A review.","Grant JE, et al.","Prog Neuropsychopharmacol Biol Psychiatry. 2016."
"Iowa Gambling Task (IGT): twenty years after - gambling disorder and IGT.","Brevers D, et al.","Front Psychol. 2013."
"The anticipatory dopamine response in addiction: A common neurobiological underpinning of gambling disorder and substance use disorder?","Linnet J.","Prog Neuropsychopharmacol Biol Psychiatry. 2020."
"Opioid Antagonists for Pharmacological Treatment of Gambling Disorder: Are they Relevant?","Victorri-Vigneau C, et al.","Curr Neuropharmacol. 2018."
"Pathological gambling and mood disorders: clinical associations and treatment implications.","Kim SW, et al.","J Affect Disord. 2006."
"Psychological treatments for gambling disorder.","Rash CJ, et al.","Psychol Res Behav Manag. 2014."
"Risk Factors for Gambling Disorder: A Systematic Review.","Moreira D, et al.","J Gambl Stud. 2023."
"Introduction to the Gambling Disorder Special Issue.","Parker M.","Issues Ment Health Nurs. 2020."
"Decision-making (in)flexibility in gambling disorder.","Perandrés-Gómez A, et al.","Addict Behav. 2021."
"[Gambling disorder - a current issue in Sweden].","Widinghoff C, et al.","Lakartidningen. 2018."
"Common neurobiological and psychological underpinnings of gambling and substance-use disorders.","Balodis IM, et al.","Prog Neuropsychopharmacol Biol Psychiatry. 2020."
"Research on the effects of integrated resorts in Korea on gambling addiction.","Jin CH.","J Exerc Rehabil. 2015."
"Gambling behavior and problems among older adults: a systematic review of empirical studies.","Tse S, et al.","J Gerontol B Psychol Sci Soc Sci. 2012."
"The epidemiology of pathological gambling.","Cunningham-Williams RM, et al.","Semin Clin Neuropsychiatry. 2001."
"Bihavioral Addictions in Childhood and Adolescence - Pandemic Knocking Door.","Bećirović E, et al.","Psychiatr Danub. 2020."
"Where to put Compulsive Sexual Behavior Disorder (CSBD)? Phenomenology matters •","Rumpf HJ, et al.","J Behav Addict. 2022."
"The efficacy of motivational interviewing for disordered gambling: systematic review and meta-analysis.","Yakovenko I, et al.","Addict Behav. 2015."
"Psychological online interventions for problem gambling and gambling disorder - A meta-analytic approach.","Augner C, et al.","J Psychiatr Res. 2022."
"The neural bases of cognitive processes in gambling disorder.","Potenza MN.","Trends Cogn Sci. 2014."
"[Gambling disorder and alcohol use disorder -- similarities and differences].","Andó B, et al.","Psychiatr Hung. 2016."
"Treatment modalities for patients with gambling disorder.","Choi SW, et al.","Ann Gen Psychiatry. 2017."
"Impulsivity in Gambling Disorder and problem gambling: a meta-analysis.","Ioannidis K, et al.","Neuropsychopharmacology. 2019."
"Gambling-Related Cognitive Distortions in Residential Treatment for Gambling Disorder.","Ledgerwood DM, et al.","J Gambl Stud. 2020."
"Computational approaches to modeling gambling behaviour: Opportunities for understanding disordered gambling.","Hales CA, et al.","Neurosci Biobehav Rev. 2023."
"Disordered gambling in adolescents : epidemiology, diagnosis, and treatment.","Pietrzak RH, et al.","Paediatr Drugs. 2003."
"[Gambling addiction: insights from neuroscience and neuroimaging].","Sescousse G.","Med Sci (Paris). 2015."
"Online Gambling Disorder Questionnaire (OGD-Q): An item r'esponse theory examination.","Stavropoulos V, et al.","Addict Behav Rep. 2022."
"Gambling disorder and its relationship with substance use disorders: implications for nosological revisions and treatment.","Grant JE, et al.","Am J Addict. 2015."
"Family therapy interventions in India for persons with gambling disorder.","George S, et al.","Asia Pac Psychiatry. 2021."
"Gambling disorder in minority ethnic groups.","Grant JE, et al.","Addict Behav. 2023."
"Pathological personality facets and emotion (dys)regulation in gambling disorder.","Rogier G, et al.","Scand J Psychol. 2020."
"Hormonal responses in gambling versus alcohol abuse: A review of human studies.","Li Y, et al.","Prog Neuropsychopharmacol Biol Psychiatry. 2020."
"[Gambling Disorder: epidemiology, diagnosis, interpretative models and intervention].","Coriale G, et al.","Riv Psichiatr. 2015."
"[Gambling in elderly patients].","Guillou Landreat M, et al.","Soins Gerontol. 2017."
"Oxcarbazepine for Gambling Disorder.","Lin CC, et al.","Am J Ther. 2020."
"Prevalence of gambling disorder and its correlates among homeless men in Osaka city, Japan.","Hwang C, et al.","J Gambl Stud. 2022."
"Brain morphometry in adults with gambling disorder.","Bouchard AE, et al.","J Psychiatr Res. 2021."
"Neurobiological underpinnings of reward anticipation and outcome evaluation in gambling disorder.","Linnet J.","Front Behav Neurosci. 2014."
"Uncommon and/or bizarre features of dementia: Part III.","Cipriani G, et al.","Acta Neurol Belg. 2018."
"Gambling-related cognitive distortions mediate the relationship between depression and disordered gambling severity.","Schluter MG, et al.","Addict Behav. 2019."
"Clinical Features of Gambling Disorder Patients with and Without Food Addiction: Gender-Related Considerations.","Etxandi M, et al.","J Gambl Stud. 2022."
"[Functional neuroimaging of addiction].","Takahashi H.","Nihon Rinsho. 2015."
"Applying incentive sensitization models to behavioral addiction.","Rømer Thomsen K, et al.","Neurosci Biobehav Rev. 2014."
"Profiling Metacognition in Gambling Disorder.","Spada MM, et al.","Behav Cogn Psychother. 2015."
"The role of microtransactions in Internet Gaming Disorder and Gambling Disorder: A preregistered systematic review.","Raneri PC, et al.","Addict Behav Rep. 2022."
"Examination of Chinese gambling problems through a socio-historical-cultural perspective.","Tse S, et al.","ScientificWorldJournal. 2010."
"Casino opening, gambling disorder, and newly developed legislative measures targeting the disorder in Japan.","Higuchi S.","Psychiatry Clin Neurosci. 2020."
"Disordered gambling in a longitudinal birth cohort: from childhood precursors to adult life outcomes.","Slutske WS, et al.","Psychol Med. 2022."
"Applying the DSM-5 Criteria for Gambling Disorder to Online Gambling Account-Based Tracking Data: An Empirical Study Utilizing Cluster Analysis.","Catania M, et al.","J Gambl Stud. 2022."
"Disordered gambling, type of gambling and gambling involvement in the British Gambling Prevalence Survey 2007.","LaPlante DA, et al.","Eur J Public Health. 2011."
"Nancy Petry's impact on the gambling disorder field: Mechanisms, treatment, and the DSM-5.","Ledgerwood DM.","Psychol Addict Behav. 2020."
"Autistic traits in young adults who gamble.","Grant JE, et al.","CNS Spectr. 2020."
"Stability and progression of disordered gambling: lessons from longitudinal studies.","LaPlante DA, et al.","Can J Psychiatry. 2008."
"Sub-clinical Alcohol Consumption and Gambling Disorder.","Harries MD, et al.","J Gambl Stud. 2017."
"Causal Learning in Gambling Disorder: Beyond the Illusion of Control.","Perales JC, et al.","J Gambl Stud. 2017."
"The Level of Gambling Prediction Using Depression and Anxiety in the Romanian Population.","Huțul TD, et al.","J Gambl Stud. 2022."
"Disordered gambling among higher-frequency gamblers: who is at risk?","Hodgins DC, et al.","Psychol Med. 2012."
"The current clinical knowledge on the treatment of gambling disorder: A summary.","Hloch K, et al.","Synapse. 2017."
"Current pharmacotherapy for gambling disorder: a systematic review.","Kraus SW, et al.","Expert Opin Pharmacother. 2020."
"Gambler Risk Perception: A Mental Model and Grounded Theory Analysis.","Spurrier M, et al.","J Gambl Stud. 2015."
"Disordered gambling and attentional bias: The mediating role of risk-taking.","Ciccarelli M, et al.","J Affect Disord. 2020."
"Longitudinal Changes in Gambling, Buying and Materialism in Adolescents: A Population-Based Study.","Estévez A, et al.","Int J Environ Res Public Health. 2021."
"Gambling characteristics in Galicia: a Public Health problem.","Rey-Brandariz J, et al.","Adicciones. 2021."
"The association of cognitive distortions and the type of gambling in problematic and disordered gambling.","Orlowski S, et al.","Addict Behav. 2020."
"Do Online Gambling Products Require Traditional Therapy for Gambling Disorder to Change? Evidence from Focus Group Interviews with Mental Health Professionals Treating Online Gamblers.","Lopez-Gonzalez H, et al.","J Gambl Stud. 2022."
"Disordered gambling among college students: a meta-analytic synthesis.","Blinn-Pike L, et al.","J Gambl Stud. 2007."
"Components of Impulsivity in Gambling Disorder.","Hodgins DC, et al.","Int J Ment Health Addict. 2015."
"Gambling disorder in adolescents: prevalence, new developments, and treatment challenges.","Floros GD.","Adolesc Health Med Ther. 2018."
"The Role of Acupuncture in Treating a Patient with a Gambling Disorder.","Teja Y, et al.","Med Acupunct. 2022."
"Parental Acceptance/Rejection Perceptions and Attachment Styles of Men With Online Gambling Disorder.","Kaya E, et al.","J Gambl Stud. 2022."
"Abnormalities of striatal morphology in gambling disorder and at-risk gambling.","Grant JE, et al.","CNS Spectr. 2019."
"Prevalence of Gambling Disorder Among Prisoners: A Systematic Review.","Banks J, et al.","Int J Offender Ther Comp Criminol. 2020."
"Recovery, relapse, or else? Treatment outcomes in gambling disorder from a multicenter follow-up study.","Müller KW, et al.","Eur Psychiatry. 2017."
"Preventive Gambling Programs for Adolescents and Young Adults: A Systematic Review.","Monreal-Bartolomé A, et al.","Int J Environ Res Public Health. 2023."
"Social Connectedness and Associations with Gambling Risk in New Zealand.","Wang GY, et al.","J Clin Med. 2022."
"ADHD Symptoms in Pathological and Problem Gamblers in Singapore.","Mak C, et al.","Int J Environ Res Public Health. 2018."
"Editorial: The impact of online addiction on general health, wellbeing and associated societal costs, volume II.","Floros G, et al.","Front Public Health. 2022."
"Cognitive training: A new avenue in gambling disorder management?","Luquiens A, et al.","Neurosci Biobehav Rev. 2019."
"Gambling-Specific Cognitions Are Not Associated With Either Abstract or Probabilistic Reasoning: A Dual Frequentist-Bayesian Analysis of Individuals With and Without Gambling Disorder.","Muela I, et al.","Front Psychol. 2021."
"Are Treatment Outcomes Determined by Type of Gambling? A UK Study.","Ronzitti S, et al.","J Gambl Stud. 2018."
"Brief Virtual Workshop on Gambling Disorder to Raise Knowledge and Awareness Among Health Service Providers.","Gee MJ, et al.","J Gambl Stud. 2022."
"Comparative analysis of distinct phenotypes in gambling disorder based on gambling preferences.","Moragas L, et al.","BMC Psychiatry. 2015."
"Demographic, Behavioral, and Proximal Risk Factors for Gambling Disorder in the US Military.","Garvey Wilson AL, et al.","Am J Addict. 2021."
"Exploring dopaminergic transmission in gambling addiction: A systematic translational review.","Pettorruso M, et al.","Neurosci Biobehav Rev. 2020."
"Relative deprivation and disordered gambling in youths.","Elgar FJ, et al.","J Epidemiol Community Health. 2018."
"Prevalence and potential predictors of gambling disorder among people living with HIV.","Langan K, et al.","AIDS Care. 2019."
"Drugs-Induced Pathological Gambling: An Analysis of Italian Spontaneous Reporting System.","Scavone C, et al.","J Gambl Stud. 2020."
"Is subclinical gambling really subclinical?","Weinstock J, et al.","Addict Behav. 2017."
"The Risk of Gambling Problems in the General Population: A Reconsideration.","Harrison GW, et al.","J Gambl Stud. 2020."
"Dopamine and Risky Decision-Making in Gambling Disorder.","Peters J, et al.","eNeuro. 2020."
"An Epidemiologic, Longitudinal, and Discordant-Twin Study of the Association Between Gambling Disorder and Suicidal Behaviors.","Slutske WS, et al.","Clin Psychol Sci. 2022."
"The transition time to gambling disorder: The roles that age, gambling preference and personality traits play.","Pettorruso M, et al.","Addict Behav. 2021."
"Public Stigma and the Label of Gambling Disorder: Does it Make a Difference?","Palmer BA, et al.","J Gambl Stud. 2018."
"Gambling symptoms, behaviors, and cognitive distortions in Japanese university students.","Yokomitsu K, et al.","Subst Abuse Treat Prev Policy. 2019."
"Gambling addiction: what the non-specialist needs to know.","George S, et al.","Br J Hosp Med (Lond). 2011."
"Risk of Gambling Disorder and Impulse Control Disorder With Aripiprazole, Pramipexole, and Ropinirole: A Pharmacoepidemiologic Study.","Etminan M, et al.","J Clin Psychopharmacol. 2017."
"Problematic Gambling Behavior in a Sample with Substance Use Disorder: The Role of Attachment Style and Alexithymia.","Rueda Ruiz MB, et al.","J Gambl Stud. 2022."
"Motives for gambling, cognitive distortions, and irresponsible gambling: Proposal for an explanatory model of gambling addiction in university students.","Esparza-Reig J, et al.","J Addict Dis. 2022."
"The Impact of Disordered Gambling Among Older Adults.","Kerber C, et al.","J Psychosoc Nurs Ment Health Serv. 2015."
"Associations between national gambling policies and disordered gambling prevalence rates within Europe.","Planzer S, et al.","Int J Law Psychiatry. 2014."
"Gambling disorder is associated with reduced sensitivity to expected value during risky choice.","Limbrick-Oldfield EH, et al.","J Behav Addict. 2020."
"The world of gambling: the National Gambling Experiences series.","Hodgins DC, et al.","Addiction. 2016."
"Variations in Gambling Disorder Symptomatology Across Sexual Identity Among College Student-Athletes.","Richard J, et al.","J Gambl Stud. 2019."
"A descriptive pilot survey of behavioural addictions in an adolescent secondary school population in Ireland.","Columb D, et al.","Ir J Psychol Med. 2021."
"What About Affected Family Members of Disordered Gamblers During the COVID-19 Pandemic? A Study in Italy During the Lockdown Restrictions.","Donati MA, et al.","Front Psychol. 2022."
"Perceived social stigmatisation of gambling disorders and coping with stigma.","Dąbrowska K, et al.","Nordisk Alkohol Nark. 2020."
"Interoception and respiratory sinus arrhythmia in gambling disorder.","Kennedy D, et al.","Psychophysiology. 2019."
"Pathologic gambling disorder. How to help patients curb risky behavior when the future is at stake.","Sumitra LM, et al.","Postgrad Med. 2005."
"Prevalence of Suicidal Behavior and Associated Clinical Correlates in Patients with Behavioral Addictions.","Valenciano-Mendoza E, et al.","Int J Environ Res Public Health. 2021."
"Suicide Attempt in Patients With Gambling Disorder-Associations With Comorbidity Including Substance Use Disorders.","Håkansson A, et al.","Front Psychiatry. 2020."
"Prevalence of and Factors Associated with Disordered Gambling Disorder, and Use of DSM-5 Based Sports Betting Questionnaire, in a Southwest Nigerian Community.","Afe T, et al.","Indian J Psychol Med. 2022."
"Psychometric evaluation of the NORC diagnostic screen for gambling problems (NODS) for the assessment of DSM-5 gambling disorder.","Brazeau BW, et al.","Addict Behav. 2022."
"Editorial: What is addictive in gambling? Nine years after the gambling disorder diagnosis: Does gambling fit among the addictions?","Nilsson A, et al.","Front Psychiatry. 2023."
"Predicting Gambling Situations: The Roles of Impulsivity, Substance Use, and Post-Traumatic Stress.","Grubbs JB, et al.","Subst Abuse. 2019."
"What's in a Name? Evaluating the Public Stigma of Gambling Disorder.","Quigley L, et al.","J Gambl Stud. 2020."
"Evaluating for Differences by Race/Ethnicity in the Association Between Income and Gambling Disorder.","Day B, et al.","J Gambl Stud. 2020."
"Dopamine and Gambling Disorder: Prospects for Personalized Treatment.","Kayser A.","Curr Addict Rep. 2019."
"Explaining reinforcement and erroneous beliefs in pathological exercise: A commentary and expansion on Coniglio et al. (in press) using the pathways model of disordered gambling.","Tabri N, et al.","Int J Eat Disord. 2022."
"Increased Demographic Representation in Randomized Control Trials for Gambling Disorder in the United States is Needed: A Systematic Review.","Peter SC, et al.","J Gambl Stud. 2021."
"Longitudinal subtypes of disordered gambling in young adults identified using mixed modeling.","Chamberlain SR, et al.","Prog Neuropsychopharmacol Biol Psychiatry. 2020."
"Pharmacological treatments in gambling disorder: a qualitative review.","Lupi M, et al.","Biomed Res Int. 2014."
"[Psychiatric comorbidity in pathological gambling].","Skokauskas N, et al.","Medicina (Kaunas). 2003."
"Twelve-Month Prevalence of DSM-5 Gambling Disorder and Associated Gambling Behaviors Among Those Receiving Methadone Maintenance.","Himelhoch SS, et al.","J Gambl Stud. 2016."
"""Should've known better"": Counterfactual processing in disordered gambling.","Wu Y, et al.","Addict Behav. 2021."
"Mind the GAP! Pathological gambling, a modern defy to public health.","Tavazzani MT, et al.","Ann Ig. 2020."
"How central is dopamine to pathological gambling or gambling disorder?","Potenza MN.","Front Behav Neurosci. 2013."
"Possible effect of blonanserin on gambling disorder: A clinical study protocol and a case report.","Shiina A, et al.","World J Clin Cases. 2021."
"A Comprehensive Model for Gambling Behaviors: Assessment of the Factors that can Contribute to the Vulnerability and Maintenance of Gambling Disorder.","Gori A, et al.","J Gambl Stud. 2022."
"Gambling Disorder in Male Violent Offenders in the Prison System: Psychiatric and Substance-Related Comorbidity.","Widinghoff C, et al.","J Gambl Stud. 2019."
"Giving a Voice to Gambling Addiction: Analysis of Personal Narratives.","Rogier G, et al.","Cult Med Psychiatry. 2020."
"Placing your faith on the betting floor: Religiosity predicts disordered gambling via gambling fallacies.","Kim HS, et al.","J Behav Addict. 2018."
"The Role of ADHD Symptomatology and Emotion Dysregulation in Gambling Disorder.","Mestre-Bach G, et al.","J Atten Disord. 2021."
"Sleepiness and cognition in young adults who gamble and use alcohol.","Harvanko AM, et al.","J Behav Addict. 2014."
"Is there any gambling disorder among mariners?","Pougnet R, et al.","Int Marit Health. 2016."
"Disordered Gambling Prevalence: Methodological Innovations in a General Danish Population Survey.","Harrison GW, et al.","J Gambl Stud. 2018."
"Mother-bingo bonding: screening for gambling addiction in the neonatal intensive care unit.","Christensen MH, et al.","Neonatal Netw. 2000."
"Correlates of frequent gambling and gambling-related chasing behaviors in individuals with schizophrenia-spectrum disorders.","Yakovenko I, et al.","J Behav Addict. 2018."
"An Analysis of Treatment-Seeking Behavior in Individuals with Gambling Disorder.","Harries MD, et al.","J Gambl Stud. 2018."
"Correlation between precontemplation and alpha activity in gambling disorder.","Lee J, et al.","Neuropsychiatr Dis Treat. 2019."
"Clinical and Research Implications of Gambling Disorder in DSM-5.","Weinstock J, et al.","Curr Addict Rep. 2014."
"Presence of problematic and disordered gambling in older age and validation of the South Oaks Gambling Scale.","Granero R, et al.","PLoS One. 2020."
"Negative Recovery Capital in Gambling Disorder: A Conceptual Model of Barriers to Recovery.","Gavriel-Fried B, et al.","J Gambl Stud. 2022."
"Disordered gambling in residential substance use treatment centers: an unmet need.","Leavens E, et al.","J Addict Dis. 2014."
"Online Self-Directed Interventions for Gambling Disorder: Randomized Controlled Trial.","Hodgins DC, et al.","J Gambl Stud. 2019."
"COMT Associations with Disordered Gambling and Drinking Measures.","Guillot CR, et al.","J Gambl Stud. 2015."
"An Expert Map of Gambling Risk Perception.","Spurrier M, et al.","J Gambl Stud. 2015."
"Factors associated with disordered gambling in Finland.","Castrén S, et al.","Subst Abuse Treat Prev Policy. 2013."
"Clinical characteristics of veterans with gambling disorders seeking pain treatment.","Ronzitti S, et al.","Addict Behav. 2019."
"Metacognition in Pathological Gambling and Its Relationship with Anxious and Depressive Symptomatology.","Jauregui P, et al.","J Gambl Stud. 2016."
"The Challenge of Online Gambling: The Effect of Legalization on the Increase in Online Gambling Addiction.","Chóliz M.","J Gambl Stud. 2016."
"The dangers of conflating gambling-related harm with disordered gambling.","Browne M, et al.","J Behav Addict. 2017."
"Gambling addiction in the UK: the long road to public health recognition.","Metcalfe C.","BMJ. 2023."
"Adverse Childhood Experiences and Disordered Gambling: Assessing the Mediating Role of Emotion Dysregulation.","Poole JC, et al.","J Gambl Stud. 2017."
"A qualitative analysis of the effects of a comorbid disordered gambling diagnosis with schizophrenia.","Yakovenko I, et al.","Schizophr Res. 2016."
"Problematic internet use in gamblers: impact on clinical and cognitive measures.","Chamberlain SR, et al.","CNS Spectr. 2017."
"Self-Generated Motives for Not Gambling Among Young Adult Non-gamblers.","Rash CL, et al.","J Gambl Stud. 2017."
"Reduced cortical thickness in gambling disorder: a morphometric MRI study.","Grant JE, et al.","Eur Arch Psychiatry Clin Neurosci. 2015."
"No addiction transfer from preoperative food addiction to other addictive behaviors during the first year after bariatric surgery.","Dickhut C, et al.","Eur Eat Disord Rev. 2021."
"What to target in cognitive behavioral treatment for gambling disorder-A qualitative study of clinically relevant behaviors.","Molander O, et al.","BMC Psychiatry. 2022."
"Gambling and Attention Deficit Hyperactivity Disorders (ADHD) in a Population of French Students.","Romo L, et al.","J Gambl Stud. 2015."
"Filling the GAP: Integrating a gambling addiction program into a shelter setting for people experiencing poverty and homelessness.","Matheson FI, et al.","PLoS One. 2022."
"Towards DSM-V: considering other withdrawal-like symptoms of pathological gambling disorder.","Cunningham-Williams RM, et al.","Int J Methods Psychiatr Res. 2009."
"Gambling Associated Risk-taking Behaviors Correlate with Emotional Regulation and the Iowa Gambling Task but not Wisconsin Card Sorting.","MacLaren V, et al.","J Gambl Stud. 2022."
"Development of the Gambling Disorder Identification Test: Results from an international Delphi and consensus process.","Molander O, et al.","Int J Methods Psychiatr Res. 2021."
"A bias towards natural rewards away from gambling cues in gamblers undergoing active treatment.","Schmidt C, et al.","Brain Res. 2021."
"Gambling Disorder and Affect Regulation: The Role of Alexithymia and Attachment Style.","Di Trani M, et al.","J Gambl Stud. 2017."
"Investigating Possible Effects of Ethnicity and Age on Gambling as an Escape.","Cookman ML, et al.","J Gambl Stud. 2016."
"Disordered (pathologic or problem) gambling and axis I psychiatric disorders: results from the National Epidemiologic Survey on Alcohol and Related Conditions.","Chou KL, et al.","Am J Epidemiol. 2011."
"Genome-wide association study of a quantitative disordered gambling trait.","Lind PA, et al.","Addict Biol. 2013."
"The placebo effect and its clinical associations in gambling disorder.","Grant JE, et al.","Ann Clin Psychiatry. 2017."
"Smoking and Gambling Disorder: Does Tobacco Use Influence Treatment Outcome?","Ronzitti S, et al.","J Gambl Stud. 2015."
"Parental bonding in pathological gambling disorder.","Grant JE, et al.","Psychiatr Q. 2002."
"Latent class analysis of gambling subtypes and impulsive/compulsive associations: Time to rethink diagnostic boundaries for gambling disorder?","Chamberlain SR, et al.","Addict Behav. 2017."
"Gambling disorder in financial markets: Clinical and treatment-related features.","Shin YC, et al.","J Behav Addict. 2015."
"How do online sports gambling disorder patients compare with land-based patients?","Estévez A, et al.","J Behav Addict. 2017."
"Direct Marketing Experiences Among Individuals With Current and Lifetime Gambling Disorder.","Syvertsen A, et al.","Front Psychol. 2020."
"Associations between recalled use of legal UK youth gambling products and adult disordered gambling.","Newall PWS, et al.","J Behav Addict. 2020."
"Is Subtyping of Gamblers Based on the Pathways Model of Problem and Disordered Gambling Valid? A Systematic Review.","Kurilla A.","J Gambl Stud. 2021."
"Gambling disorder in the context of outpatient counselling and treatment: Background and design of a prospective German cohort study.","Schwarzkopf L, et al.","Int J Methods Psychiatr Res. 2021."
"EEG correlates associated with the severity of gambling disorder and serum BDNF levels in patients with gambling disorder.","Kim KM, et al.","J Behav Addict. 2018."
"Gambling and its clinical correlates in university students.","Grant JE, et al.","Int J Psychiatry Clin Pract. 2019."
"Development and validation of a stock addiction inventory (SAI).","Youn H, et al.","Ann Gen Psychiatry. 2016."
"[Aripiprazole, gambling disorder and compulsive sexuality].","Mété D, et al.","Encephale. 2016."
"Disordered gambling among Chinese casino employees.","Wu AM, et al.","J Gambl Stud. 2008."
"Affective impulsivity moderates the relationship between disordered gambling severity and attentional bias in electronic gaming machine (EGM) players.","Kim HS, et al.","J Behav Addict. 2022."
"Narcissistic Implications in Gambling Disorder: The Mediating Role of Emotion Dysregulation.","Rogier G, et al.","J Gambl Stud. 2018."
"Online Gambling Activity, Pay-to-Win Payments, Motivation to Gamble and Coping Strategies as Predictors of Gambling Disorder Among e-sports Bettors.","Lelonek-Kuleta B, et al.","J Gambl Stud. 2021."
"Understanding the Relationship Between Subjective Wellbeing and Gambling Behavior.","Farrell L.","J Gambl Stud. 2018."
"Daily Fantasy Sports Players: Gambling, Addiction, and Mental Health Problems.","Nower L, et al.","J Gambl Stud. 2018."
"Gambling disorder-related illegal acts: Regression model of associated factors.","Gorsane MA, et al.","J Behav Addict. 2017."
"Altered orbitofrontal sulcogyral patterns in gambling disorder: a multicenter study.","Li Y, et al.","Transl Psychiatry. 2019."
"Cued for risk: Evidence for an incentive sensitization framework to explain the interplay between stress and anxiety, substance abuse, and reward uncertainty in disordered gambling behavior.","Hellberg SN, et al.","Cogn Affect Behav Neurosci. 2019."
"Perfectionism predicts disordered eating and gambling via focused self-concept among those high in erroneous beliefs about their disordered behavior.","Tabri N, et al.","J Behav Addict. 2021."
"The dishonest gambler: Low HEXACO honesty-humility and gambling severity in a community sample of gamblers.","Kim HS, et al.","Personal Ment Health. 2018."
"Associations between recovery capital, spirituality, and DSM-5 symptom improvement in gambling disorder.","Gavriel-Fried B, et al.","Psychol Addict Behav. 2020."
"The road less travelled: moving from distribution to determinants in the study of gambling epidemiology.","Shaffer HJ, et al.","Can J Psychiatry. 2004."
"Challenging the exclusion of gambling disorder as a disability under the Americans with Disabilities Act.","Wade KV.","Duke Law J. 2015."
