"Title","Author_Info","Journal","Year","Label"
"Applying the DSM-5 Criteria for Gambling Disorder to Online Gambling Account-Based Tracking Data: An Empirical Study Utilizing Cluster Analysis.","Catania M, et al.","J Gambl Stud",2022,"gambling"
"Disordered gambling, type of gambling and gambling involvement in the British Gambling Prevalence Survey 2007.","LaPlante DA, et al.","Eur J Public Health",2011,"gambling"
"Nancy Petry's impact on the gambling disorder field: Mechanisms, treatment, and the DSM-5.","Ledgerwood DM.","Psychol Addict Behav",2020,"gambling"
"Autistic traits in young adults who gamble.","Grant JE, et al.","CNS Spectr",2020,"gambling"
"Stability and progression of disordered gambling: lessons from longitudinal studies.","LaPlante DA, et al.","Can J Psychiatry",2008,"gambling"
"Sub-clinical Alcohol Consumption and Gambling Disorder.","Harries MD, et al.","J Gambl Stud",2017,"gambling"
"Causal Learning in Gambling Disorder: Beyond the Illusion of Control.","Perales JC, et al.","J Gambl Stud",2017,"gambling"
"The Level of Gambling Prediction Using Depression and Anxiety in the Romanian Population.","Huțul TD, et al.","J Gambl Stud",2022,"gambling"
"Disordered gambling among higher-frequency gamblers: who is at risk?","Hodgins DC, et al.","Psychol Med",2012,"gambling"
"The current clinical knowledge on the treatment of gambling disorder: A summary.","Hloch K, et al.","Synapse",2017,"gambling"
"Current pharmacotherapy for gambling disorder: a systematic review.","Kraus SW, et al.","Expert Opin Pharmacother",2020,"gambling"
"Gambler Risk Perception: A Mental Model and Grounded Theory Analysis.","Spurrier M, et al.","J Gambl Stud",2015,"gambling"
"Disordered gambling and attentional bias: The mediating role of risk-taking.","Ciccarelli M, et al.","J Affect Disord",2020,"gambling"
"Longitudinal Changes in Gambling, Buying and Materialism in Adolescents: A Population-Based Study.","Estévez A, et al.","Int J Environ Res Public Health",2021,"gambling"
"Gambling characteristics in Galicia: a Public Health problem.","Rey-Brandariz J, et al.","Adicciones",2021,"gambling"
"The association of cognitive distortions and the type of gambling in problematic and disordered gambling.","Orlowski S, et al.","Addict Behav",2020,"gambling"
"Do Online Gambling Products Require Traditional Therapy for Gambling Disorder to Change? Evidence from Focus Group Interviews with Mental Health Professionals Treating Online Gamblers.","Lopez-Gonzalez H, et al.","J Gambl Stud",2022,"gambling"
"Disordered gambling among college students: a meta-analytic synthesis.","Blinn-Pike L, et al.","J Gambl Stud",2007,"gambling"
"Components of Impulsivity in Gambling Disorder.","Hodgins DC, et al.","Int J Ment Health Addict",2015,"gambling"
"Gambling disorder in adolescents: prevalence, new developments, and treatment challenges.","Floros GD.","Adolesc Health Med Ther",2018,"gambling"
"The Role of Acupuncture in Treating a Patient with a Gambling Disorder.","Teja Y, et al.","Med Acupunct",2022,"gambling"
"Parental Acceptance/Rejection Perceptions and Attachment Styles of Men With Online Gambling Disorder.","Kaya E, et al.","J Gambl Stud",2022,"gambling"
"Abnormalities of striatal morphology in gambling disorder and at-risk gambling.","Grant JE, et al.","CNS Spectr",2019,"gambling"
"Prevalence of Gambling Disorder Among Prisoners: A Systematic Review.","Banks J, et al.","Int J Offender Ther Comp Criminol",2020,"gambling"
"Recovery, relapse, or else? Treatment outcomes in gambling disorder from a multicenter follow-up study.","Müller KW, et al.","Eur Psychiatry",2017,"gambling"
"Preventive Gambling Programs for Adolescents and Young Adults: A Systematic Review.","Monreal-Bartolomé A, et al.","Int J Environ Res Public Health",2023,"gambling"
"Social Connectedness and Associations with Gambling Risk in New Zealand.","Wang GY, et al.","J Clin Med",2022,"gambling"
"ADHD Symptoms in Pathological and Problem Gamblers in Singapore.","Mak C, et al.","Int J Environ Res Public Health",2018,"gambling"
"Editorial: The impact of online addiction on general health, wellbeing and associated societal costs, volume II.","Floros G, et al.","Front Public Health",2022,"gambling"
"Cognitive training: A new avenue in gambling disorder management?","Luquiens A, et al.","Neurosci Biobehav Rev",2019,"gambling"
"Gambling-Specific Cognitions Are Not Associated With Either Abstract or Probabilistic Reasoning: A Dual Frequentist-Bayesian Analysis of Individuals With and Without Gambling Disorder.","Muela I, et al.","Front Psychol",2021,"gambling"
"Are Treatment Outcomes Determined by Type of Gambling? A UK Study.","Ronzitti S, et al.","J Gambl Stud",2018,"gambling"
"Brief Virtual Workshop on Gambling Disorder to Raise Knowledge and Awareness Among Health Service Providers.","Gee MJ, et al.","J Gambl Stud",2022,"gambling"
"Comparative analysis of distinct phenotypes in gambling disorder based on gambling preferences.","Moragas L, et al.","BMC Psychiatry",2015,"gambling"
"Demographic, Behavioral, and Proximal Risk Factors for Gambling Disorder in the US Military.","Garvey Wilson AL, et al.","Am J Addict",2021,"gambling"
"Exploring dopaminergic transmission in gambling addiction: A systematic translational review.","Pettorruso M, et al.","Neurosci Biobehav Rev",2020,"gambling"
"Relative deprivation and disordered gambling in youths.","Elgar FJ, et al.","J Epidemiol Community Health",2018,"gambling"
"Prevalence and potential predictors of gambling disorder among people living with HIV.","Langan K, et al.","AIDS Care",2019,"gambling"
"Drugs-Induced Pathological Gambling: An Analysis of Italian Spontaneous Reporting System.","Scavone C, et al.","J Gambl Stud",2020,"gambling"
"Is subclinical gambling really subclinical?","Weinstock J, et al.","Addict Behav",2017,"gambling"
"The Risk of Gambling Problems in the General Population: A Reconsideration.","Harrison GW, et al.","J Gambl Stud",2020,"gambling"
"Dopamine and Risky Decision-Making in Gambling Disorder.","Peters J, et al.","eNeuro",2020,"gambling"
"An Epidemiologic, Longitudinal, and Discordant-Twin Study of the Association Between Gambling Disorder and Suicidal Behaviors.","Slutske WS, et al.","Clin Psychol Sci",2022,"gambling"
"The transition time to gambling disorder: The roles that age, gambling preference and personality traits play.","Pettorruso M, et al.","Addict Behav",2021,"gambling"
"Public Stigma and the Label of Gambling Disorder: Does it Make a Difference?","Palmer BA, et al.","J Gambl Stud",2018,"gambling"
"Gambling symptoms, behaviors, and cognitive distortions in Japanese university students.","Yokomitsu K, et al.","Subst Abuse Treat Prev Policy",2019,"gambling"
"Gambling addiction: what the non-specialist needs to know.","George S, et al.","Br J Hosp Med (Lond)",2011,"gambling"
"Risk of Gambling Disorder and Impulse Control Disorder With Aripiprazole, Pramipexole, and Ropinirole: A Pharmacoepidemiologic Study.","Etminan M, et al.","J Clin Psychopharmacol",2017,"gambling"
"Problematic Gambling Behavior in a Sample with Substance Use Disorder: The Role of Attachment Style and Alexithymia.","Rueda Ruiz MB, et al.","J Gambl Stud",2022,"gambling"
"Motives for gambling, cognitive distortions, and irresponsible gambling: Proposal for an explanatory model of gambling addiction in university students.","Esparza-Reig J, et al.","J Addict Dis",2022,"gambling"
"The Impact of Disordered Gambling Among Older Adults.","Kerber C, et al.","J Psychosoc Nurs Ment Health Serv",2015,"gambling"
"Associations between national gambling policies and disordered gambling prevalence rates within Europe.","Planzer S, et al.","Int J Law Psychiatry",2014,"gambling"
"Gambling disorder is associated with reduced sensitivity to expected value during risky choice.","Limbrick-Oldfield EH, et al.","J Behav Addict",2020,"gambling"
"The world of gambling: the National Gambling Experiences series.","Hodgins DC, et al.","Addiction",2016,"gambling"
"Variations in Gambling Disorder Symptomatology Across Sexual Identity Among College Student-Athletes.","Richard J, et al.","J Gambl Stud",2019,"gambling"
"A descriptive pilot survey of behavioural addictions in an adolescent secondary school population in Ireland.","Columb D, et al.","Ir J Psychol Med",2021,"gambling"
"What About Affected Family Members of Disordered Gamblers During the COVID-19 Pandemic? A Study in Italy During the Lockdown Restrictions.","Donati MA, et al.","Front Psychol",2022,"gambling"
"Perceived social stigmatisation of gambling disorders and coping with stigma.","Dąbrowska K, et al.","Nordisk Alkohol Nark",2020,"gambling"
"Interoception and respiratory sinus arrhythmia in gambling disorder.","Kennedy D, et al.","Psychophysiology",2019,"gambling"
"Pathologic gambling disorder. How to help patients curb risky behavior when the future is at stake.","Sumitra LM, et al.","Postgrad Med",2005,"gambling"
"Prevalence of Suicidal Behavior and Associated Clinical Correlates in Patients with Behavioral Addictions.","Valenciano-Mendoza E, et al.","Int J Environ Res Public Health",2021,"gambling"
"Suicide Attempt in Patients With Gambling Disorder-Associations With Comorbidity Including Substance Use Disorders.","Håkansson A, et al.","Front Psychiatry",2020,"gambling"
"Prevalence of and Factors Associated with Disordered Gambling Disorder, and Use of DSM-5 Based Sports Betting Questionnaire, in a Southwest Nigerian Community.","Afe T, et al.","Indian J Psychol Med",2022,"gambling"
"Psychometric evaluation of the NORC diagnostic screen for gambling problems (NODS) for the assessment of DSM-5 gambling disorder.","Brazeau BW, et al.","Addict Behav",2022,"gambling"
"Editorial: What is addictive in gambling? Nine years after the gambling disorder diagnosis: Does gambling fit among the addictions?","Nilsson A, et al.","Front Psychiatry",2023,"gambling"
"Predicting Gambling Situations: The Roles of Impulsivity, Substance Use, and Post-Traumatic Stress.","Grubbs JB, et al.","Subst Abuse",2019,"gambling"
"What's in a Name? Evaluating the Public Stigma of Gambling Disorder.","Quigley L, et al.","J Gambl Stud",2020,"gambling"
"Evaluating for Differences by Race/Ethnicity in the Association Between Income and Gambling Disorder.","Day B, et al.","J Gambl Stud",2020,"gambling"
"Dopamine and Gambling Disorder: Prospects for Personalized Treatment.","Kayser A.","Curr Addict Rep",2019,"gambling"
"Explaining reinforcement and erroneous beliefs in pathological exercise: A commentary and expansion on Coniglio et al. (in press) using the pathways model of disordered gambling.","Tabri N, et al.","Int J Eat Disord",2022,"gambling"
"Increased Demographic Representation in Randomized Control Trials for Gambling Disorder in the United States is Needed: A Systematic Review.","Peter SC, et al.","J Gambl Stud",2021,"gambling"
"Longitudinal subtypes of disordered gambling in young adults identified using mixed modeling.","Chamberlain SR, et al.","Prog Neuropsychopharmacol Biol Psychiatry",2020,"gambling"
"Pharmacological treatments in gambling disorder: a qualitative review.","Lupi M, et al.","Biomed Res Int",2014,"gambling"
"[Psychiatric comorbidity in pathological gambling].","Skokauskas N, et al.","Medicina (Kaunas)",2003,"gambling"
"Twelve-Month Prevalence of DSM-5 Gambling Disorder and Associated Gambling Behaviors Among Those Receiving Methadone Maintenance.","Himelhoch SS, et al.","J Gambl Stud",2016,"gambling"
"""Should've known better"": Counterfactual processing in disordered gambling.","Wu Y, et al.","Addict Behav",2021,"gambling"
"Mind the GAP! Pathological gambling, a modern defy to public health.","Tavazzani MT, et al.","Ann Ig",2020,"gambling"
"How central is dopamine to pathological gambling or gambling disorder?","Potenza MN.","Front Behav Neurosci",2013,"gambling"
"Possible effect of blonanserin on gambling disorder: A clinical study protocol and a case report.","Shiina A, et al.","World J Clin Cases",2021,"gambling"
"A Comprehensive Model for Gambling Behaviors: Assessment of the Factors that can Contribute to the Vulnerability and Maintenance of Gambling Disorder.","Gori A, et al.","J Gambl Stud",2022,"gambling"
"Gambling Disorder in Male Violent Offenders in the Prison System: Psychiatric and Substance-Related Comorbidity.","Widinghoff C, et al.","J Gambl Stud",2019,"gambling"
"Giving a Voice to Gambling Addiction: Analysis of Personal Narratives.","Rogier G, et al.","Cult Med Psychiatry",2020,"gambling"
"Placing your faith on the betting floor: Religiosity predicts disordered gambling via gambling fallacies.","Kim HS, et al.","J Behav Addict",2018,"gambling"
"The Role of ADHD Symptomatology and Emotion Dysregulation in Gambling Disorder.","Mestre-Bach G, et al.","J Atten Disord",2021,"gambling"
"Sleepiness and cognition in young adults who gamble and use alcohol.","Harvanko AM, et al.","J Behav Addict",2014,"gambling"
"Is there any gambling disorder among mariners?","Pougnet R, et al.","Int Marit Health",2016,"gambling"
"Disordered Gambling Prevalence: Methodological Innovations in a General Danish Population Survey.","Harrison GW, et al.","J Gambl Stud",2018,"gambling"
"Mother-bingo bonding: screening for gambling addiction in the neonatal intensive care unit.","Christensen MH, et al.","Neonatal Netw",2000,"gambling"
"Correlates of frequent gambling and gambling-related chasing behaviors in individuals with schizophrenia-spectrum disorders.","Yakovenko I, et al.","J Behav Addict",2018,"gambling"
"An Analysis of Treatment-Seeking Behavior in Individuals with Gambling Disorder.","Harries MD, et al.","J Gambl Stud",2018,"gambling"
"Correlation between precontemplation and alpha activity in gambling disorder.","Lee J, et al.","Neuropsychiatr Dis Treat",2019,"gambling"
"Clinical and Research Implications of Gambling Disorder in DSM-5.","Weinstock J, et al.","Curr Addict Rep",2014,"gambling"
"Presence of problematic and disordered gambling in older age and validation of the South Oaks Gambling Scale.","Granero R, et al.","PLoS One",2020,"gambling"
"Negative Recovery Capital in Gambling Disorder: A Conceptual Model of Barriers to Recovery.","Gavriel-Fried B, et al.","J Gambl Stud",2022,"gambling"
"Disordered gambling in residential substance use treatment centers: an unmet need.","Leavens E, et al.","J Addict Dis",2014,"gambling"
"Online Self-Directed Interventions for Gambling Disorder: Randomized Controlled Trial.","Hodgins DC, et al.","J Gambl Stud",2019,"gambling"
"COMT Associations with Disordered Gambling and Drinking Measures.","Guillot CR, et al.","J Gambl Stud",2015,"gambling"
"An Expert Map of Gambling Risk Perception.","Spurrier M, et al.","J Gambl Stud",2015,"gambling"
"Factors associated with disordered gambling in Finland.","Castrén S, et al.","Subst Abuse Treat Prev Policy",2013,"gambling"
"Clinical characteristics of veterans with gambling disorders seeking pain treatment.","Ronzitti S, et al.","Addict Behav",2019,"gambling"
"Metacognition in Pathological Gambling and Its Relationship with Anxious and Depressive Symptomatology.","Jauregui P, et al.","J Gambl Stud",2016,"gambling"
"The Challenge of Online Gambling: The Effect of Legalization on the Increase in Online Gambling Addiction.","Chóliz M.","J Gambl Stud",2016,"gambling"
"The dangers of conflating gambling-related harm with disordered gambling.","Browne M, et al.","J Behav Addict",2017,"gambling"
"Gambling addiction in the UK: the long road to public health recognition.","Metcalfe C.","BMJ",2023,"gambling"
"Adverse Childhood Experiences and Disordered Gambling: Assessing the Mediating Role of Emotion Dysregulation.","Poole JC, et al.","J Gambl Stud",2017,"gambling"
"A qualitative analysis of the effects of a comorbid disordered gambling diagnosis with schizophrenia.","Yakovenko I, et al.","Schizophr Res",2016,"gambling"
"Problematic internet use in gamblers: impact on clinical and cognitive measures.","Chamberlain SR, et al.","CNS Spectr",2017,"gambling"
"Self-Generated Motives for Not Gambling Among Young Adult Non-gamblers.","Rash CL, et al.","J Gambl Stud",2017,"gambling"
"Reduced cortical thickness in gambling disorder: a morphometric MRI study.","Grant JE, et al.","Eur Arch Psychiatry Clin Neurosci",2015,"gambling"
"No addiction transfer from preoperative food addiction to other addictive behaviors during the first year after bariatric surgery.","Dickhut C, et al.","Eur Eat Disord Rev",2021,"gambling"
"What to target in cognitive behavioral treatment for gambling disorder-A qualitative study of clinically relevant behaviors.","Molander O, et al.","BMC Psychiatry",2022,"gambling"
"Gambling and Attention Deficit Hyperactivity Disorders (ADHD) in a Population of French Students.","Romo L, et al.","J Gambl Stud",2015,"gambling"
"Filling the GAP: Integrating a gambling addiction program into a shelter setting for people experiencing poverty and homelessness.","Matheson FI, et al.","PLoS One",2022,"gambling"
"Towards DSM-V: considering other withdrawal-like symptoms of pathological gambling disorder.","Cunningham-Williams RM, et al.","Int J Methods Psychiatr Res",2009,"gambling"
"Gambling Associated Risk-taking Behaviors Correlate with Emotional Regulation and the Iowa Gambling Task but not Wisconsin Card Sorting.","MacLaren V, et al.","J Gambl Stud",2022,"gambling"
"Development of the Gambling Disorder Identification Test: Results from an international Delphi and consensus process.","Molander O, et al.","Int J Methods Psychiatr Res",2021,"gambling"
"A bias towards natural rewards away from gambling cues in gamblers undergoing active treatment.","Schmidt C, et al.","Brain Res",2021,"gambling"
"Gambling Disorder and Affect Regulation: The Role of Alexithymia and Attachment Style.","Di Trani M, et al.","J Gambl Stud",2017,"gambling"
"Investigating Possible Effects of Ethnicity and Age on Gambling as an Escape.","Cookman ML, et al.","J Gambl Stud",2016,"gambling"
"Disordered (pathologic or problem) gambling and axis I psychiatric disorders: results from the National Epidemiologic Survey on Alcohol and Related Conditions.","Chou KL, et al.","Am J Epidemiol",2011,"gambling"
"Genome-wide association study of a quantitative disordered gambling trait.","Lind PA, et al.","Addict Biol",2013,"gambling"
"The placebo effect and its clinical associations in gambling disorder.","Grant JE, et al.","Ann Clin Psychiatry",2017,"gambling"
"Smoking and Gambling Disorder: Does Tobacco Use Influence Treatment Outcome?","Ronzitti S, et al.","J Gambl Stud",2015,"gambling"
"Parental bonding in pathological gambling disorder.","Grant JE, et al.","Psychiatr Q",2002,"gambling"
"Latent class analysis of gambling subtypes and impulsive/compulsive associations: Time to rethink diagnostic boundaries for gambling disorder?","Chamberlain SR, et al.","Addict Behav",2017,"gambling"
"Gambling disorder in financial markets: Clinical and treatment-related features.","Shin YC, et al.","J Behav Addict",2015,"gambling"
"How do online sports gambling disorder patients compare with land-based patients?","Estévez A, et al.","J Behav Addict",2017,"gambling"
"Direct Marketing Experiences Among Individuals With Current and Lifetime Gambling Disorder.","Syvertsen A, et al.","Front Psychol",2020,"gambling"
"Associations between recalled use of legal UK youth gambling products and adult disordered gambling.","Newall PWS, et al.","J Behav Addict",2020,"gambling"
"Is Subtyping of Gamblers Based on the Pathways Model of Problem and Disordered Gambling Valid? A Systematic Review.","Kurilla A.","J Gambl Stud",2021,"gambling"
"Gambling disorder in the context of outpatient counselling and treatment: Background and design of a prospective German cohort study.","Schwarzkopf L, et al.","Int J Methods Psychiatr Res",2021,"gambling"
"EEG correlates associated with the severity of gambling disorder and serum BDNF levels in patients with gambling disorder.","Kim KM, et al.","J Behav Addict",2018,"gambling"
"Gambling and its clinical correlates in university students.","Grant JE, et al.","Int J Psychiatry Clin Pract",2019,"gambling"
"Development and validation of a stock addiction inventory (SAI).","Youn H, et al.","Ann Gen Psychiatry",2016,"gambling"
"[Aripiprazole, gambling disorder and compulsive sexuality].","Mété D, et al.","Encephale",2016,"gambling"
